car_id,min_price,max_price,structure,emission,gearbox,fc,baidu_index
363,7.49,9.99,两厢,1.5L,手动 自动,6-6L,4239
364,4.08,4.78,三厢,1.3L,手动,7-7L,1490
365,16.28,27.68,三厢,1.8T 2.5L,手动 自动 手自一体,8-10L,10656
366,5.58,7.58,SUV,1.5L,手动 自动,6-7L,10140
367,11.59,16.99,三厢,1.0T 1.5T,手动 无级,5-8L,1600
368,40.04,52.53,SUV,2.0T,手自一体,8-10L,2400
369,23.42,34.28,SUV,1.4T 2.0T,双离合,6-8L,2100
370,9.98,15.9,三厢,1.6L 1.8L,手动 自动 无级,5-8L,1000
371,7.68,11.98,SUV,1.5L 1.5T,手动 无级,7-8L,9338
372,7.58,11.08,两厢 三厢,1.3L 1.5L,手动 自动,6-7L,35000
373,4.09,5.49,客车,1.3L 1.5L,手动,6-7L,597
374,3.98,6.68,客车,1.5L,手动 自动,6-7L,6501
375,5.58,6.28,MPV,1.5L,手动,7-7L,7275
376,7.98,9.98,两厢,1.6L,手动 自动,7-8L,null
377,5.98,8.18,三厢,1.5L 1.6L,手动 手自一体,6-8L,6400
378,7.89,12.89,MPV,1.5T 2.0L,手动 手自一体,8-8L,4269
379,17.98,26.98,SUV,2.0L 2.5L,无级 手自一体,6-10L,14900
380,8.88,12.38,SUV,1.5T,手动 无级,7-9L,6800
381,6.89,9.29,SUV,1.6L,手动 无级,7-8L,42700
382,3.78,5.08,客车,1.2L,手动,7-10L,70
383,7.58,11.08,两厢 三厢,1.3L 1.5L,手动 自动,6-7L,null
384,11.48,16.58,三厢,1.8L,手动,8-10L,null
385,13.98,18.98,SUV,1.2T 2.0L,手动 无级,6-9L,25400
386,24.98,30.98,MPV,2.4L,无级,8-9L,2500
387,5.29,8.29,两厢 三厢,1.4L 1.5L,手动 自动,6-8L,null
388,25.48,38.98,三厢,2.0T 2.5L,手自一体,7-11L,14200
389,14.98,19.98,三厢,2.0L 2.4L,手自一体,9-10L,800
390,11.68,21.88,SUV,1.8T 2.0L,手动 自动,7-9L,17000
391,11.27,17.97,两厢,1.2T 1.6L 1.6T,手动 手自一体,5-5L,15341
392,6.57,11.77,SUV,1.5L 1.5T,手动 手自一体,6-8L,27500
393,5.88,7.68,SUV,1.5L,手动 无级,6-7L,2300
394,8.98,14.58,SUV,1.5T 1.6L,手动 手自一体,7-8L,13800
395,6.88,9.28,三厢,1.6L,手动 手自一体,6-8L,15800
396,43.56,77.86,三厢,2.0T 3.0T,手自一体,7-10L,126945
397,7.59,12.99,三厢,1.4T 1.5L,手动 双离合 手自一体,6-6L,15925
398,9.68,12.23,三厢,1.5L,手动 手自一体,6-7L,7700
399,4.69,5.89,两厢,1.3L,手动 AMT,6-7L,11548
400,6.19,8.99,三厢,1.5L 1.8L,手动 手自一体,7-8L,19367
401,6.58,7.58,三厢,1.5L,手动 手自一体,8-9L,2200
402,14.07,22.32,SUV,1.6T 2.0L,手动 手自一体,6-9L,5800
403,7.87,14.07,三厢,1.5L 1.5T,手动 手自一体,7-8L,14400
404,7.98,11.98,三厢,1.5L,手动 无级,5-6L,8106
405,5.58,8.53,两厢,1.3L 1.5L 1.6L,手动 手自一体,7-8L,1086
406,7.29,10.39,两厢 三厢,1.4L 1.6L,手动 自动 手自一体,5-6L,null
407,28.8,48.69,三厢,1.5T 2.0T,手自一体,6-10L,88000
408,17.98,24.98,SUV,2.0L 2.4L,无级,7-10L,1400
409,7.98,27.18,客车,2.0L 2.2L 2.4L 2.7L,手动 自动,11-13L,4683
410,4.39,7.79,三厢,1.5L,手动 双离合,6-8L,12100
411,6.99,9.59,三厢,1.5L,手动 双离合,6-6L,2400
412,6.59,10.59,三厢,1.5L 1.5T,手动 无级,6-7L,14681
413,6.58,9.78,三厢,1.5L 1.6L,手动 手自一体,7-8L,16900
414,3.79,4.79,两厢,1.0L,手动 AMT,5-6L,15000
415,2.69,4.63,客车,1.0L,手动,6-8L,1060
416,6.29,10.99,三厢,1.5L 1.8L,手动 无级 双离合,6-8L,7200
417,7.98,11.58,三厢,1.5T 2.0L,手动 双离合,7-8L,11700
418,7.59,10.29,三厢,1.5T,手动 双离合,6-6L,1900
419,5.49,7.58,三厢,1.5L,手动,6-7L,9100
420,10.98,17.98,SUV,2.2L 2.4L 2.5T,手动,8-12L,4557
421,17.99,20.99,SUV,2.4L,手自一体,10-10L,18900
422,9.98,15.18,三厢,1.4T 1.6L,手动 双离合 手自一体,6-6L,19179
423,8.47,11.97,三厢,1.6L,手动 手自一体,6-8L,27800
424,22.48,28.98,SUV,2.0T 2.4L,手动 手自一体,9-10L,13400
425,17.58,23.58,三厢,2.0L 2.5L,手自一体,6-7L,null
426,9.97,15.97,三厢,1.2T 1.6L 1.6T,手动 手自一体,5-8L,24800
427,8.99,14.99,SUV,1.5T 2.0T,手动 双离合,2-2L,2600
428,5.49,7.19,三厢,1.5L,手动 双离合,6-8L,28300
429,3.28,4.94,客车,1.0L 1.3L,手动,6-9L,340
430,7.99,9.79,两厢,1.5L 1.5T,手动 无级,6-7L,3588
431,10.39,15.39,MPV,2.0L 2.4L,手动 双离合 手自一体,9-11L,7600
432,9.28,12.99,SUV,1.8L 2.0L 2.4L,手动 手自一体,7-10L,2500
433,4.59,6.59,两厢 三厢,1.5L,手动 自动,6-8L,200
434,18.39,33.29,三厢,1.4T 1.8T 2.0T 3.0L,手动 双离合,6-10L,1200
435,18.48,27.08,SUV,1.5T 2.0T,手自一体,7-9L,1100
436,12.88,18.98,SUV,1.5L 1.8L,手动 无级,6-7L,6600
437,5.99,9.99,MPV,1.5L 1.6L,手动 无级,6-6L,3400
438,10.58,15.28,SUV,2.0L,手动 手自一体,9-9L,17984
439,7.39,8.59,三厢,1.5T,手动,6-6L,6600
440,4.14,4.44,客车,1.3L,手动,6-7L,100
441,6.58,9.58,SUV,1.5L 1.6L,手动 无级,6-7L,9700
442,20.99,34.99,SUV,1.5T 2.0T,双离合 手自一体,7-9L,33900
443,12.98,17.98,MPV,2.0L,手动 自动,10-10L,1925
444,6.98,8.58,三厢,1.6L,手动 自动,6-7L,10700
445,5.68,12.48,客车,2.0L 2.2L 2.4L 2.5T,手动,13-14L,1300
446,9.98,15.88,三厢,1.8T,手动 双离合,8-8L,18234
447,10.78,15.38,三厢,1.4T 1.6L,手动 双离合 手自一体,5-9L,96000
448,2.5,5.09,客车,1.0L 1.2L 1.3L,手动,7-8L,29059
449,16.48,18.48,两厢 三厢,2.0L,手自一体,8-8L,24700
450,10.39,15.09,三厢,1.5T,手动 双离合,7-7L,17100
451,3.99,4.49,两厢,1.4L,手动,5-6L,62100
452,16.49,18.99,三厢,1.5T,手自一体,7-8L,1200
453,11.48,14.48,三厢,1.6L 1.8T 2.0L,手动 自动 手自一体,7-9L,12300
454,5.49,7.49,三厢,1.5L,手动 AMT,6-7L,40100
455,8.49,13.89,两厢 三厢,1.4L 1.4T 1.6L,手动 自动 双离合,6-7L,null
456,9.58,11.18,三厢,1.6L,手动 手自一体,7-9L,null
457,18.78,32.98,三厢,2.0L 2.5L,无级 手自一体,5-10L,2100
458,13.48,20.28,SUV,1.4T 2.0L,手动 双离合 手自一体,7-8L,11500
459,8.95,13.95,SUV,1.5T 2.0L,手动 双离合,8-9L,46800
460,3.98,4.55,客车,1.3L,手动,6-7L,null
