car_name, bdi_num,
一汽森雅M80,517,
众泰芝麻E30,993,
长安悦翔V5,3900,
长安悦翔V7,44814,
长安逸动,24900,
日产帕拉丁,3367,
五菱宏光,89600,
雪铁龙C4L,6500,
DS6,null,
荣威E50,606,
DS5,null,
众泰大迈X5,27412,
江淮和悦,61600,
MG锐腾,35414,
力帆320,8600,
雪铁龙C4世嘉,9965,
日产阳光,70200,
MG3,19500,
MG5,12129,
北汽绅宝D20 三厢,10400,
MG7,7743,
MG6,6300,
丰田汉兰达,23100,
比亚迪S6,1300,
东风郑州日产帅客,8000,
比亚迪S7,44000,
本田XR-V,3600,
日产骊威,22000,
昌河福瑞达,600,
荣威750混合动力,null,
标致2008,2600,
猎豹飞腾C5,281,
标致408,3200,
雪佛兰赛欧两厢,null,
一汽夏利N7,1500,
一汽夏利N5,22460,
长安商用欧力威,2700,
启辰T70,18707,
本田雅阁,59800,
起亚KX3傲跑,12355,
中华尊驰,15027,
铃木启悦,4200,
起亚K2三厢,22000,
五菱征程,2478,
长安奔奔mini,43600,
东风郑州日产奥丁,1011,
猎豹奇兵,null,
福特翼搏,9900,
雪佛兰创酷,41669,
现代朗动,113435,
荣威W5,11000,
大众途观,2200,
众泰5008,1902,
长安CX30三厢,4198,
别克君威,12900,
大众朗逸,75200,
哈飞小霸王,422,
别克凯越,50300,
比亚迪e6,4087,
福特锐界,11100,
吉利帝豪EV,null,
哈弗H6 COUPE,null,
雪铁龙C5,93300,
吉利GX7,25900,
雪铁龙C2,4400,
东南希旺,482,
长城长城M,null,
马自达3经典,null,
吉利帝豪GS,51430,
江淮第二代瑞风S3,19500,
奇瑞东方之子,4883,
宝骏630,51100,
福特福克斯三厢,null,
福特麦柯斯S-MAX,254,
比亚迪秦EV,1700,
丰田普锐斯,1900,
东风风神AX3,3403,
东风风神AX7,31134,
吉利英伦TX4,286,
三菱帕杰罗劲畅,3495,
力帆620,14294,
力帆X50,1388,
五菱荣光S,9100,
丰田锐志,12000,
五菱荣光V,6553,
力帆X60,9556,
海马丘比特,1400,
起亚KX5,4100,
吉利自由舰,27700,
北汽幻速S6,18848,
北汽幻速S3,33403,
威麟V5,7255,
东风风神H30 CROSS,1741,
吉利博瑞,18000,
起亚赛拉图欧风,19700,
东风风行菱智,38223,
大众途安,30400,
众泰云100,1766,
北汽绅宝X35,7524,
雪佛兰乐风RV,4239,
吉利SC3,1490,
荣威750,10656,
北汽绅宝X25,10140,
本田思域,1600,
奥迪Q5,2400,
奥迪Q3,2100,
日产轩逸,1000,
北汽绅宝X55,9338,
马自达2三厢,35000,
一汽佳宝V80,597,
北汽幻速H2,6501,
北汽幻速H3,7275,
铃木天语SX4,null,
东风风神S30,6400,
海马V70,4269,
丰田RAV4,14900,
奇瑞瑞虎5,6800,
奇瑞瑞虎3,42700,
众泰V10,70,
马自达2,null,
中华骏捷,null,
日产逍客,25400,
本田艾力绅,2500,
铃木利亚纳三厢,null,
丰田皇冠,14200,
三菱戈蓝,800,
广汽传祺GS5速博,17000,
标致308S,15341,
中华V3,27500,
江淮瑞风S2,2300,
中华V5,13800,
海马福美来,15800,
宝马5系,126945,
荣威360,15925,
福特福睿斯,7700,
一汽威志V2,11548,
吉利GC7,19367,
中华H330,2200,
标致3008,5800,
荣威350,14400,
本田哥瑞,8106,
中华骏捷FRV,1086,
起亚K2两厢,null,
宝马3系,88000,
本田CR-V,1400,
金杯阁瑞斯,4683,
比亚迪F3,12100,
比亚迪速锐,2400,
东南V5菱致,14681,
中华骏捷FSV,16900,
比亚迪F0,15000,
哈飞民意,1060,
比亚迪G3,7200,
比亚迪G6,11700,
比亚迪G5,1900,
众泰Z300,9100,
猎豹黑金刚,4557,
