,0,1
0,448.0,2973.1951050075468
1,476.0,2973.1952090630816
2,509.0,2973.1952564249277
3,215.0,2973.195271276084
4,1352.0,2932.43212784611
5,756.0,2966.456464071571
6,1088.0,2972.447838768384
7,1102.0,2973.138888893803
8,1042.0,2973.191493540648
9,650.0,2973.1941853840926
10,138.0,2973.1944183184687
11,239.0,2973.1946165134573
12,322.0,2201.3152091748834
13,418.0,2139.3926168805424
14,571.0,2231.569133132946
15,320.0,2307.380939257442
16,200.0,2403.610666148967
17,124.0,2493.5947104585184
18,206.0,2550.065952928964
19,1209.0,2973.195300278451
20,375.0,2973.1953002784526
21,396.0,2973.195300278455
22,1384.0,2973.1953002784567
23,769.0,2973.195300278457
24,406.0,2973.195300278461
25,140.0,2973.1953002784776
26,688.0,2973.1953002785067
27,18.0,2973.1952975979193
28,36.0,2973.19529771832
29,3.0,2973.1952978603117
30,19.0,2973.1952980819865
31,39.0,2973.195298312974
32,165.0,2973.1952985488174
33,64.0,2973.1952986370497
34,140.0,2973.195298495843
35,118.0,2973.1953004201287
36,200.0,2973.1953011830237
37,1225.0,2973.1953042582404
38,1148.0,2973.195312501647
39,1534.0,2973.1953269908868
40,815.0,2973.1953427797266
41,611.0,2973.195350123329
42,1118.0,2973.1953414049135
43,1817.0,2973.653071622363
44,1350.0,2973.923646285926
45,2687.0,2974.049494208121
46,1775.0,2973.9000859949856
47,2826.0,2973.491291351199
48,3415.0,2973.030767661935
49,2661.0,2972.782379625249
50,4550.0,2972.7942505619553
51,301.0,2973.1953002785613
52,717.0,2973.1953002785613
53,376.0,2973.1953002785613
54,260.0,2973.1953002785613
55,422.0,2973.1953002785613
56,162.0,2973.1953002785613
57,291.0,2973.1953002785613
58,673.0,2973.195188926699
59,722.0,2973.195094243954
60,436.0,2973.1849264244356
61,338.0,2973.178368576225
62,2758.0,2973.1953002785613
63,2440.0,2973.1953002785613
64,2329.0,2973.1953002785613
65,3842.0,2973.1953002785613
66,28928.0,2972.7355542657115
67,18238.0,2972.793301346889
68,17160.0,2972.9520110322296
69,14060.0,2973.095607939645
70,15072.0,2973.16628964687
71,28077.0,2973.186732385205
72,29711.0,2973.191606904272
73,40015.0,2973.1949860270843
74,2.0,2973.067763905083
75,1333.0,2972.9266459844334
76,1354.0,2972.29034475531
77,1639.0,2971.9858446097196
78,731.0,2972.226089350071
79,1739.0,2972.7278132862457
80,1748.0,2973.1735068056983
81,937.0,2973.6372359838365
82,2229.0,2974.2943576510975
83,407.0,2973.169309321574
84,51.0,2973.222739953652
85,73.0,2973.291104623154
86,113.0,2973.3786882650115
87,151.0,2973.4407154061473
88,116.0,2973.4301261443566
89,149.0,2973.356548720889
90,4828.0,2973.195300278693
91,5089.0,2973.1953002786013
92,6344.0,2973.195300278575
93,7440.0,2973.1953002785613
94,6225.0,2973.1953002785494
95,5078.0,2973.1953002785413
96,9597.0,2973.1953002785435
97,32832.0,2973.195300261926
98,31109.0,2973.1953000856056
