,id,year,month,pSales,predict,error
9256,176,2015,8,0.0,-1.0,-1.0
9260,178,2016,8,-2.0,-1.0,1.0
9268,178,2015,12,-3.0,-1.0,2.0
9269,178,2015,11,-3.0,-1.0,2.0
9270,178,2015,10,-2.0,-1.0,1.0
9271,178,2015,9,0.0,-1.0,-1.0
9272,178,2015,8,-3.0,-1.0,2.0
9359,181,2016,8,-2.0,-2.0,0.0
9366,181,2015,12,-1.0,-1.0,0.0
9367,181,2015,11,-0.0,-1.0,-1.0
9368,181,2015,10,1.0,-1.0,-2.0
9369,181,2015,9,-0.0,-1.0,-1.0
9370,181,2015,8,-4.0,-1.0,3.0
9394,182,2016,8,4.0,-2.0,-6.0
9402,182,2015,12,1.0,-1.0,-2.0
9403,182,2015,11,1.0,-1.0,-2.0
9404,182,2015,10,1.0,-1.0,-2.0
9405,182,2015,9,1.0,-1.0,-2.0
9406,182,2015,8,1.0,-1.0,-2.0
9438,184,2016,8,-1.0,-2.0,-1.0
9446,184,2015,12,-2.0,-1.0,1.0
9447,184,2015,11,-2.0,-1.0,1.0
9448,184,2015,10,-3.0,-1.0,2.0
9449,184,2015,9,-3.0,-1.0,2.0
9450,184,2015,8,-2.0,-1.0,1.0
9496,185,2016,8,-2.0,-1.0,1.0
9504,185,2015,12,-0.0,-1.0,-1.0
9505,185,2015,11,1.0,-1.0,-2.0
9506,185,2015,10,-0.0,-1.0,-1.0
9507,185,2015,9,-0.0,-1.0,-1.0
9508,185,2015,8,-1.0,-1.0,0.0
9596,188,2016,8,3.0,-2.0,-5.0
9604,188,2015,12,5.0,-1.0,-6.0
9605,188,2015,11,5.0,-1.0,-6.0
9606,188,2015,10,3.0,-1.0,-4.0
9607,188,2015,9,2.0,-1.0,-3.0
9608,188,2015,8,-0.0,-1.0,-1.0
9709,189,2015,12,-5.0,-1.0,4.0
9710,189,2015,11,-5.0,-1.0,4.0
9711,189,2015,10,-5.0,-1.0,4.0
9712,189,2015,9,-5.0,-1.0,4.0
9713,189,2015,8,-6.0,-1.0,5.0
9791,190,2016,8,-4.0,-2.0,2.0
9798,190,2015,12,-4.0,-1.0,3.0
9799,190,2015,11,-2.0,-1.0,1.0
9800,190,2015,10,-2.0,-1.0,1.0
9801,190,2015,9,-3.0,-2.0,1.0
