,id,year,month,pSales,predict,error
14482,285,2015,9,-3.0,-1.0,2.0
14483,285,2015,8,-3.0,-1.0,2.0
14551,286,2016,8,0.0,-1.0,-1.0
14559,286,2015,12,2.0,-1.0,-3.0
14560,286,2015,11,1.0,-1.0,-2.0
14561,286,2015,10,2.0,-1.0,-3.0
14562,286,2015,9,1.0,-1.0,-2.0
14563,286,2015,8,1.0,-1.0,-2.0
14645,287,2015,12,-3.0,-1.0,2.0
14646,287,2015,11,-3.0,-1.0,2.0
14647,287,2015,10,-3.0,-1.0,2.0
14648,287,2015,9,-4.0,-1.0,3.0
14649,287,2015,8,-4.0,-1.0,3.0
14702,288,2016,8,-4.0,-2.0,2.0
14710,288,2015,12,-2.0,-1.0,1.0
14711,288,2015,11,-2.0,-1.0,1.0
14712,288,2015,10,-3.0,-1.0,2.0
14713,288,2015,9,-4.0,-1.0,3.0
14714,288,2015,8,-4.0,-1.0,3.0
14785,289,2016,8,-3.0,-2.0,1.0
14793,289,2015,12,3.0,-1.0,-4.0
14794,289,2015,11,2.0,-1.0,-3.0
14795,289,2015,10,2.0,-1.0,-3.0
14796,289,2015,9,-2.0,-1.0,1.0
14797,289,2015,8,-3.0,-1.0,2.0
14807,290,2016,8,-1.0,-1.0,0.0
14815,290,2015,12,0.0,-1.0,-1.0
14816,290,2015,11,0.0,-1.0,-1.0
14817,290,2015,10,0.0,-1.0,-1.0
14818,290,2015,9,2.0,-1.0,-3.0
14819,290,2015,8,2.0,-1.0,-3.0
14828,291,2016,8,-3.0,-2.0,1.0
14836,291,2015,12,-3.0,-1.0,2.0
14837,291,2015,11,-3.0,-1.0,2.0
14838,291,2015,10,-3.0,-1.0,2.0
14839,291,2015,9,-3.0,-1.0,2.0
14840,291,2015,8,-3.0,-1.0,2.0
14941,292,2016,8,-3.0,-2.0,1.0
14949,292,2015,12,-1.0,-1.0,0.0
14950,292,2015,11,-2.0,-1.0,1.0
14951,292,2015,10,-2.0,-2.0,0.0
14952,292,2015,9,-3.0,-2.0,1.0
14953,292,2015,8,-3.0,-2.0,1.0
15026,294,2016,8,-4.0,-2.0,2.0
15034,294,2015,12,1.0,-1.0,-2.0
15035,294,2015,11,-0.0,-1.0,-1.0
15036,294,2015,10,0.0,-1.0,-1.0
15037,294,2015,9,-2.0,-1.0,1.0
15038,294,2015,8,-2.0,-1.0,1.0
15055,296,2016,8,2.0,-1.0,-3.0
15063,296,2015,12,7.0,-1.0,-8.0
15064,296,2015,11,8.0,-1.0,-9.0
15065,296,2015,10,5.0,-1.0,-6.0
15066,296,2015,9,4.0,-1.0,-5.0
15067,296,2015,8,4.0,-1.0,-5.0
15133,297,2016,8,-3.0,-2.0,1.0
15139,297,2015,12,-3.0,-1.0,2.0
15140,297,2015,11,-3.0,-1.0,2.0
15141,297,2015,10,-2.0,-1.0,1.0
15142,297,2015,9,-1.0,-1.0,0.0
15203,298,2016,8,-3.0,-2.0,1.0
15211,298,2015,12,0.0,-1.0,-1.0
15212,298,2015,11,0.0,-1.0,-1.0
15213,298,2015,10,1.0,-1.0,-2.0
15214,298,2015,9,-0.0,-2.0,-2.0
15215,298,2015,8,-1.0,-2.0,-1.0
15223,299,2016,8,-3.0,-2.0,1.0
15231,299,2015,12,4.0,-1.0,-5.0
15232,299,2015,11,-2.0,-1.0,1.0
15233,299,2015,10,-3.0,-2.0,1.0
15234,299,2015,9,-3.0,-2.0,1.0
15235,299,2015,8,-4.0,-2.0,2.0
15243,300,2016,8,-2.0,-2.0,0.0
15251,300,2015,12,-1.0,-1.0,0.0
15252,300,2015,11,-1.0,-1.0,0.0
15253,300,2015,10,-1.0,-1.0,0.0
15254,300,2015,9,-1.0,-2.0,-1.0
15255,300,2015,8,-1.0,-2.0,-1.0
15287,301,2016,8,-1.0,-2.0,-1.0
15295,301,2015,12,9.0,-1.0,-10.0
15296,301,2015,11,3.0,-1.0,-4.0
15297,301,2015,10,4.0,-1.0,-5.0
15298,301,2015,9,1.0,-1.0,-2.0
15299,301,2015,8,1.0,-1.0,-2.0
15307,302,2016,8,0.0,-1.0,-1.0
15315,302,2015,12,6.0,-1.0,-7.0
15316,302,2015,11,1.0,-1.0,-2.0
15317,302,2015,10,-0.0,-1.0,-1.0
15318,302,2015,9,0.0,-1.0,-1.0
15319,302,2015,8,-1.0,-1.0,0.0
15423,303,2016,8,-6.0,-1.0,5.0
15431,303,2015,12,7.0,-1.0,-8.0
15432,303,2015,11,3.0,-1.0,-4.0
15433,303,2015,10,0.0,-1.0,-1.0
15434,303,2015,9,-3.0,-1.0,2.0
15435,303,2015,8,-5.0,-1.0,4.0
15440,304,2016,8,-2.0,-1.0,1.0
15444,304,2015,10,-1.0,-1.0,0.0
15445,304,2015,9,-2.0,-1.0,1.0
15446,304,2015,8,-2.0,-1.0,1.0
15549,305,2016,8,2.0,-2.0,-4.0
15557,305,2015,12,2.0,-1.0,-3.0
15558,305,2015,11,7.0,-1.0,-8.0
15559,305,2015,10,8.0,-1.0,-9.0
15560,305,2015,9,5.0,-1.0,-6.0
15561,305,2015,8,0.0,-1.0,-1.0
15570,306,2016,8,-3.0,-2.0,1.0
15577,306,2015,12,6.0,-1.0,-7.0
15578,306,2015,11,7.0,-1.0,-8.0
15579,306,2015,10,3.0,-1.0,-4.0
15580,306,2015,9,1.0,-1.0,-2.0
15581,306,2015,8,-3.0,-1.0,2.0
15631,307,2016,8,-2.0,-2.0,0.0
15639,307,2015,12,2.0,-1.0,-3.0
15640,307,2015,11,-2.0,-1.0,1.0
15641,307,2015,10,-1.0,-1.0,0.0
15642,307,2015,9,-2.0,-1.0,1.0
15643,307,2015,8,-3.0,-1.0,2.0
15652,308,2016,8,-1.0,-1.0,0.0
15660,308,2015,12,-1.0,-1.0,0.0
15661,308,2015,11,-2.0,-1.0,1.0
15662,308,2015,10,-2.0,-1.0,1.0
15663,308,2015,9,-1.0,-1.0,0.0
15664,308,2015,8,-2.0,-1.0,1.0
15728,309,2016,8,-3.0,-1.0,2.0
15733,309,2015,12,-3.0,-1.0,2.0
15734,309,2015,11,-3.0,-1.0,2.0
15735,309,2015,9,-3.0,-1.0,2.0
15736,309,2015,8,-3.0,-1.0,2.0
15847,311,2016,8,-2.0,-2.0,0.0
15855,311,2015,12,0.0,-1.0,-1.0
15856,311,2015,11,-2.0,-1.0,1.0
15857,311,2015,10,-1.0,-1.0,0.0
15858,311,2015,9,-1.0,-1.0,0.0
15859,311,2015,8,-4.0,-1.0,3.0
15889,312,2016,8,-4.0,-2.0,2.0
15897,312,2015,12,6.0,-1.0,-7.0
15898,312,2015,11,3.0,-1.0,-4.0
15899,312,2015,10,-0.0,-1.0,-1.0
15900,312,2015,9,-2.0,-1.0,1.0
15901,312,2015,8,-3.0,-1.0,2.0
15918,313,2016,8,1.0,-2.0,-3.0
15926,313,2015,12,10.0,-1.0,-11.0
15927,313,2015,11,6.0,-1.0,-7.0
15928,313,2015,10,4.0,-1.0,-5.0
15929,313,2015,9,1.0,-1.0,-2.0
15930,313,2015,8,-2.0,-1.0,1.0
15967,314,2016,8,-2.0,-1.0,1.0
15975,314,2015,12,-1.0,-1.0,0.0
15976,314,2015,11,-1.0,-1.0,0.0
15977,314,2015,10,-1.0,-1.0,0.0
15978,314,2015,9,-2.0,-1.0,1.0
15979,314,2015,8,-1.0,-1.0,0.0
16029,315,2016,8,1.0,-1.0,-2.0
16036,315,2015,12,1.0,-1.0,-2.0
16037,315,2015,11,2.0,-1.0,-3.0
16038,315,2015,10,2.0,-1.0,-3.0
16039,315,2015,9,2.0,-1.0,-3.0
16040,315,2015,8,2.0,-1.0,-3.0
16174,318,2016,8,-0.0,-1.0,-1.0
16182,318,2015,12,2.0,-1.0,-3.0
16183,318,2015,11,3.0,-1.0,-4.0
16184,318,2015,10,2.0,-1.0,-3.0
16185,318,2015,9,4.0,-1.0,-5.0
16186,318,2015,8,2.0,-1.0,-3.0
16285,319,2016,8,2.0,-2.0,-4.0
16293,319,2015,12,3.0,-1.0,-4.0
16294,319,2015,11,4.0,-1.0,-5.0
16295,319,2015,10,2.0,-1.0,-3.0
16296,319,2015,9,2.0,-1.0,-3.0
16297,319,2015,8,1.0,-1.0,-2.0
16410,321,2016,8,-4.0,-2.0,2.0
16418,321,2015,12,1.0,-1.0,-2.0
16419,321,2015,11,0.0,-1.0,-1.0
16420,321,2015,10,-1.0,-1.0,0.0
16421,321,2015,9,-2.0,-1.0,1.0
16422,321,2015,8,-3.0,-1.0,2.0
16525,322,2016,8,6.0,-2.0,-8.0
16533,322,2015,12,9.0,-1.0,-10.0
16534,322,2015,11,1.0,-1.0,-2.0
16535,322,2015,10,0.0,-1.0,-1.0
16536,322,2015,9,6.0,-1.0,-7.0
16537,322,2015,8,-1.0,-1.0,0.0
16592,323,2016,8,2.0,-2.0,-4.0
16600,323,2015,12,8.0,-1.0,-9.0
16601,323,2015,11,7.0,-1.0,-8.0
16602,323,2015,10,1.0,-1.0,-2.0
16603,323,2015,9,-8.0,-1.0,7.0
16604,323,2015,8,-1.0,-1.0,0.0
16608,324,2016,8,4.0,-1.0,-5.0
16616,324,2015,12,4.0,-1.0,-5.0
16617,324,2015,11,4.0,-1.0,-5.0
16618,324,2015,10,3.0,-1.0,-4.0
16619,324,2015,9,2.0,-1.0,-3.0
16620,324,2015,8,-0.0,-1.0,-1.0
16693,326,2016,8,-4.0,-1.0,3.0
16701,326,2015,12,-2.0,-1.0,1.0
16702,326,2015,11,-3.0,-1.0,2.0
16703,326,2015,10,-2.0,-1.0,1.0
16704,326,2015,9,-1.0,-1.0,0.0
16705,326,2015,8,-2.0,-1.0,1.0
16779,327,2015,12,1.0,-1.0,-2.0
16780,327,2015,11,0.0,-1.0,-1.0
16781,327,2015,10,0.0,-1.0,-1.0
16782,327,2015,9,-0.0,-1.0,-1.0
16783,327,2015,8,-1.0,-1.0,0.0
16913,329,2015,12,7.0,-1.0,-8.0
16914,329,2015,10,-2.0,-2.0,0.0
16915,329,2015,9,-2.0,-2.0,0.0
16916,329,2015,8,-2.0,-2.0,0.0
16958,330,2015,11,-1.0,-1.0,0.0
16959,330,2015,10,-2.0,-1.0,1.0
16960,330,2015,9,-2.0,-2.0,0.0
16961,330,2015,8,-3.0,-2.0,1.0
17189,335,2016,8,-3.0,-2.0,1.0
17197,335,2015,12,-1.0,-1.0,0.0
17198,335,2015,11,-3.0,-1.0,2.0
17199,335,2015,10,-3.0,-1.0,2.0
17200,335,2015,9,-3.0,-1.0,2.0
17201,335,2015,8,-4.0,-1.0,3.0
17245,336,2016,8,-1.0,-2.0,-1.0
17253,336,2015,12,1.0,-1.0,-2.0
17254,336,2015,11,0.0,-1.0,-1.0
17255,336,2015,10,0.0,-1.0,-1.0
17256,336,2015,9,-2.0,-1.0,1.0
17257,336,2015,8,-2.0,-1.0,1.0
17451,339,2015,12,-1.0,-1.0,0.0
17452,339,2015,11,-2.0,-1.0,1.0
17453,339,2015,10,-2.0,-1.0,1.0
17454,339,2015,9,-1.0,-1.0,0.0
17455,339,2015,8,-2.0,-1.0,1.0
17529,341,2016,8,1.0,-2.0,-3.0
17537,341,2015,12,-0.0,-1.0,-1.0
17538,341,2015,11,2.0,-1.0,-3.0
17539,341,2015,10,2.0,-1.0,-3.0
17540,341,2015,9,4.0,-1.0,-5.0
17541,341,2015,8,0.0,-1.0,-1.0
17552,342,2016,8,-0.0,-1.0,-1.0
17560,342,2015,12,1.0,-1.0,-2.0
17561,342,2015,11,-0.0,-1.0,-1.0
17562,342,2015,10,1.0,-1.0,-2.0
17563,342,2015,9,2.0,-1.0,-3.0
17564,342,2015,8,-0.0,-1.0,-1.0
17621,343,2016,8,-1.0,-1.0,0.0
17629,343,2015,12,1.0,-1.0,-2.0
17630,343,2015,11,1.0,-1.0,-2.0
17631,343,2015,10,0.0,-1.0,-1.0
17632,343,2015,9,-0.0,-1.0,-1.0
17633,343,2015,8,-0.0,-1.0,-1.0
17656,344,2016,8,-2.0,-2.0,0.0
17663,344,2015,12,-2.0,-1.0,1.0
17664,344,2015,11,-2.0,-1.0,1.0
17665,344,2015,10,-2.0,-1.0,1.0
17666,344,2015,9,-2.0,-1.0,1.0
17667,344,2015,8,-2.0,-2.0,0.0
17754,345,2016,8,1.0,-2.0,-3.0
17762,345,2015,12,-3.0,-1.0,2.0
17763,345,2015,11,7.0,-1.0,-8.0
17764,345,2015,10,7.0,-1.0,-8.0
17765,345,2015,9,5.0,-1.0,-6.0
17766,345,2015,8,1.0,-1.0,-2.0
17774,346,2016,8,-5.0,-2.0,3.0
17782,346,2015,12,-2.0,-1.0,1.0
17783,346,2015,11,-2.0,-1.0,1.0
17784,346,2015,10,-3.0,-1.0,2.0
17785,346,2015,9,-2.0,-2.0,0.0
17786,346,2015,8,-2.0,-2.0,0.0
17807,347,2016,8,-4.0,-1.0,3.0
17815,347,2015,12,-4.0,-1.0,3.0
17816,347,2015,11,-4.0,-1.0,3.0
17817,347,2015,10,-2.0,-1.0,1.0
17818,347,2015,9,-2.0,-1.0,1.0
17819,347,2015,8,-4.0,-1.0,3.0
17923,348,2016,8,-1.0,-2.0,-1.0
17931,348,2015,12,1.0,-1.0,-2.0
17932,348,2015,11,-1.0,-1.0,0.0
17933,348,2015,10,-5.0,-2.0,3.0
17934,348,2015,9,-5.0,-2.0,3.0
17935,348,2015,8,-5.0,-2.0,3.0
17943,349,2016,8,-2.0,-2.0,0.0
17951,349,2015,12,-2.0,-1.0,1.0
17952,349,2015,11,1.0,-1.0,-2.0
17953,349,2015,10,0.0,-1.0,-1.0
17954,349,2015,9,0.0,-1.0,-1.0
17955,349,2015,8,-1.0,-1.0,0.0
18008,350,2016,8,-3.0,-2.0,1.0
18016,350,2015,12,-3.0,-1.0,2.0
18017,350,2015,11,-3.0,-1.0,2.0
18018,350,2015,10,-3.0,-1.0,2.0
18019,350,2015,9,-3.0,-1.0,2.0
18020,350,2015,8,-3.0,-2.0,1.0
18087,352,2015,12,-3.0,-1.0,2.0
18088,352,2015,11,-3.0,-1.0,2.0
18089,352,2015,10,-2.0,-2.0,0.0
18090,352,2015,9,-3.0,-2.0,1.0
18091,352,2015,8,-3.0,-2.0,1.0
18195,354,2016,8,-2.0,-2.0,0.0
18203,354,2015,12,6.0,-1.0,-7.0
18204,354,2015,11,4.0,-1.0,-5.0
18205,354,2015,10,3.0,-1.0,-4.0
18206,354,2015,9,2.0,-1.0,-3.0
18207,354,2015,8,1.0,-2.0,-3.0
18230,355,2015,12,0.0,-1.0,-1.0
18231,355,2015,11,-1.0,-1.0,0.0
18232,355,2015,10,-0.0,-1.0,-1.0
18233,355,2015,9,-0.0,-1.0,-1.0
18234,355,2015,8,0.0,-1.0,-1.0
18317,357,2016,8,0.0,-1.0,-1.0
18325,357,2015,12,4.0,-1.0,-5.0
18326,357,2015,11,4.0,-1.0,-5.0
18327,357,2015,10,3.0,-1.0,-4.0
18328,357,2015,9,2.0,-1.0,-3.0
18329,357,2015,8,0.0,-1.0,-1.0
18384,359,2016,8,-0.0,-2.0,-2.0
18392,359,2015,12,1.0,-1.0,-2.0
18393,359,2015,11,8.0,-1.0,-9.0
18394,359,2015,10,2.0,-1.0,-3.0
18395,359,2015,9,1.0,-1.0,-2.0
18396,359,2015,8,1.0,-1.0,-2.0
18456,360,2016,8,2.0,-1.0,-3.0
18464,360,2015,12,-1.0,-1.0,0.0
18465,360,2015,11,0.0,-1.0,-1.0
18466,360,2015,10,0.0,-1.0,-1.0
18467,360,2015,9,-0.0,-1.0,-1.0
18468,360,2015,8,-1.0,-1.0,0.0
18572,361,2016,8,7.0,-1.0,-8.0
18579,361,2015,12,9.0,-1.0,-10.0
18580,361,2015,11,14.0,-1.0,-15.0
18581,361,2015,10,8.0,-1.0,-9.0
18582,361,2015,9,1.0,-1.0,-2.0
18583,361,2015,8,1.0,-1.0,-2.0
18617,365,2015,12,-2.0,-1.0,1.0
18618,365,2015,11,-2.0,-1.0,1.0
18619,365,2015,8,-2.0,-1.0,1.0
18719,367,2016,8,2.0,-1.0,-3.0
18727,367,2015,12,-2.0,-1.0,1.0
18728,367,2015,11,-3.0,-1.0,2.0
18729,367,2015,10,-3.0,-1.0,2.0
18730,367,2015,9,-3.0,-1.0,2.0
18731,367,2015,8,-4.0,-1.0,3.0
18834,368,2016,8,3.0,-2.0,-5.0
18842,368,2015,12,2.0,2.0,0.0
18843,368,2015,11,4.0,-2.0,-6.0
18844,368,2015,10,3.0,-2.0,-5.0
18845,368,2015,9,3.0,-2.0,-5.0
18846,368,2015,8,2.0,-2.0,-4.0
18908,369,2016,8,3.0,-1.0,-4.0
18916,369,2015,12,1.0,-1.0,-2.0
18917,369,2015,11,1.0,-1.0,-2.0
18918,369,2015,10,0.0,-1.0,-1.0
18919,369,2015,9,1.0,-1.0,-2.0
18920,369,2015,8,0.0,-1.0,-1.0
18950,370,2016,8,4.0,-2.0,-6.0
18958,370,2015,12,9.0,-1.0,-10.0
18959,370,2015,11,7.0,-1.0,-8.0
18960,370,2015,10,7.0,-1.0,-8.0
18961,370,2015,9,5.0,-1.0,-6.0
18962,370,2015,8,4.0,-1.0,-5.0
19089,374,2016,8,-3.0,-2.0,1.0
19097,374,2015,12,8.0,-1.0,-9.0
19098,374,2015,11,-2.0,-1.0,1.0
19099,374,2015,10,2.0,-1.0,-3.0
19100,374,2015,9,1.0,-2.0,-3.0
19101,374,2015,8,0.0,-2.0,-2.0
19108,376,2016,8,-5.0,-2.0,3.0
19116,376,2015,12,-2.0,-1.0,1.0
19117,376,2015,11,-4.0,-1.0,3.0
19118,376,2015,10,-5.0,-1.0,4.0
19119,376,2015,9,-5.0,-1.0,4.0
19120,376,2015,8,-5.0,-1.0,4.0
19215,377,2016,8,-4.0,-2.0,2.0
19223,377,2015,12,-3.0,-1.0,2.0
19224,377,2015,11,-2.0,-1.0,1.0
19225,377,2015,10,-3.0,-1.0,2.0
19226,377,2015,9,-3.0,-1.0,2.0
19227,377,2015,8,-3.0,-1.0,2.0
19301,379,2016,8,1.0,-1.0,-2.0
19309,379,2015,12,3.0,-1.0,-4.0
19310,379,2015,11,3.0,-1.0,-4.0
19311,379,2015,10,0.0,-1.0,-1.0
19312,379,2015,9,2.0,-1.0,-3.0
19313,379,2015,8,-0.0,-1.0,-1.0
19381,380,2016,8,-0.0,-2.0,-2.0
19389,380,2015,12,4.0,-1.0,-5.0
19390,380,2015,11,3.0,-1.0,-4.0
19391,380,2015,10,-0.0,-1.0,-1.0
19392,380,2015,9,-2.0,-1.0,1.0
19393,380,2015,8,-2.0,-1.0,1.0
19415,381,2016,8,0.0,-2.0,-2.0
19423,381,2015,12,8.0,-1.0,-9.0
19424,381,2015,11,4.0,-1.0,-5.0
19425,381,2015,10,2.0,-1.0,-3.0
19426,381,2015,9,-1.0,-1.0,0.0
19427,381,2015,8,-2.0,-1.0,1.0
19443,382,2016,8,-3.0,-2.0,1.0
19446,382,2015,12,-2.0,-1.0,1.0
19552,384,2016,8,-3.0,-1.0,2.0
19556,384,2015,12,-3.0,-1.0,2.0
19557,384,2015,11,-2.0,-1.0,1.0
19558,384,2015,10,-2.0,-1.0,1.0
19559,384,2015,9,-3.0,-1.0,2.0
19560,384,2015,8,-3.0,-1.0,2.0
19664,385,2016,8,3.0,-1.0,-4.0
19672,385,2015,12,3.0,-1.0,-4.0
19673,385,2015,11,1.0,-1.0,-2.0
19674,385,2015,10,-3.0,-1.0,2.0
19675,385,2015,9,-3.0,-1.0,2.0
19676,385,2015,8,-3.0,-1.0,2.0
19766,386,2016,8,7.0,-1.0,-8.0
19773,386,2015,12,-0.0,-1.0,-1.0
19774,386,2015,11,-1.0,-1.0,0.0
19775,386,2015,10,-1.0,-1.0,0.0
19776,386,2015,9,-2.0,-1.0,1.0
19777,386,2015,8,-2.0,-1.0,1.0
19863,388,2016,8,1.0,-1.0,-2.0
19871,388,2015,12,3.0,-1.0,-4.0
19872,388,2015,11,1.0,-1.0,-2.0
19873,388,2015,10,2.0,-1.0,-3.0
19874,388,2015,9,-0.0,-1.0,-1.0
19875,388,2015,8,-3.0,-1.0,2.0
19984,389,2015,12,-1.0,-1.0,0.0
19985,389,2015,11,-1.0,-1.0,0.0
19986,389,2015,10,-1.0,-1.0,0.0
19987,389,2015,9,-1.0,-1.0,0.0
19988,389,2015,8,-1.0,-1.0,0.0
20090,390,2016,8,-4.0,-1.0,3.0
20098,390,2015,12,-2.0,-1.0,1.0
20099,390,2015,11,2.0,-1.0,-3.0
20100,390,2015,10,-0.0,-1.0,-1.0
20101,390,2015,9,-1.0,-1.0,0.0
20102,390,2015,8,-3.0,-1.0,2.0
20113,391,2016,8,-2.0,-1.0,1.0
20121,391,2015,12,-1.0,-1.0,0.0
20122,391,2015,11,-1.0,-1.0,0.0
20123,391,2015,10,-1.0,-1.0,0.0
20124,391,2015,9,-2.0,-1.0,1.0
20125,391,2015,8,-2.0,-1.0,1.0
20130,392,2016,8,-2.0,-2.0,0.0
20138,392,2015,12,7.0,-1.0,-8.0
20139,392,2015,11,7.0,-1.0,-8.0
20140,392,2015,10,0.0,-1.0,-1.0
20141,392,2015,9,-1.0,-1.0,0.0
20142,392,2015,8,-1.0,-1.0,0.0
20147,394,2016,8,-4.0,-2.0,2.0
20155,394,2015,12,-4.0,-1.0,3.0
20156,394,2015,11,-4.0,-1.0,3.0
20157,394,2015,10,-3.0,-1.0,2.0
20158,394,2015,9,-4.0,-1.0,3.0
20159,394,2015,8,-5.0,-1.0,4.0
20201,395,2016,8,-4.0,-2.0,2.0
20208,395,2015,12,2.0,-1.0,-3.0
20209,395,2015,11,2.0,-1.0,-3.0
20210,395,2015,10,-1.0,-1.0,0.0
20211,395,2015,9,-3.0,-1.0,2.0
20212,395,2015,8,-3.0,-1.0,2.0
20316,396,2016,8,4.0,-2.0,-6.0
20324,396,2015,12,2.0,2.0,0.0
20325,396,2015,11,5.0,2.0,-3.0
20326,396,2015,10,3.0,2.0,-1.0
20327,396,2015,9,5.0,-2.0,-7.0
20328,396,2015,8,4.0,-2.0,-6.0
20432,398,2016,8,2.0,-2.0,-4.0
20440,398,2015,12,2.0,-1.0,-3.0
20441,398,2015,11,3.0,-1.0,-4.0
20442,398,2015,10,1.0,-1.0,-2.0
20443,398,2015,9,-0.0,-1.0,-1.0
20444,398,2015,8,-4.0,-1.0,3.0
20453,399,2016,8,-2.0,-2.0,0.0
20455,399,2015,12,-2.0,-1.0,1.0
20456,399,2015,10,-2.0,-1.0,1.0
20457,399,2015,9,-3.0,-2.0,1.0
20536,401,2016,8,-4.0,-2.0,2.0
20544,401,2015,12,1.0,-1.0,-2.0
20545,401,2015,11,-2.0,-1.0,1.0
20546,401,2015,10,-1.0,-1.0,0.0
20547,401,2015,9,-1.0,-1.0,0.0
20548,401,2015,8,-1.0,-1.0,0.0
20572,402,2016,8,-2.0,-1.0,1.0
20579,402,2015,12,4.0,-1.0,-5.0
20580,402,2015,11,2.0,-1.0,-3.0
20581,402,2015,10,2.0,-1.0,-3.0
20582,402,2015,9,5.0,-1.0,-6.0
20583,402,2015,8,1.0,-1.0,-2.0
20615,403,2016,8,-2.0,-2.0,0.0
20623,403,2015,12,-2.0,-1.0,1.0
20624,403,2015,11,-1.0,-1.0,0.0
20625,403,2015,10,-3.0,-1.0,2.0
20626,403,2015,9,-2.0,-1.0,1.0
20627,403,2015,8,-3.0,-1.0,2.0
20691,405,2016,8,-1.0,-2.0,-1.0
20697,405,2015,12,-2.0,-1.0,1.0
20698,405,2015,8,-3.0,-1.0,2.0
20783,406,2016,8,3.0,-2.0,-5.0
20791,406,2015,12,2.0,-1.0,-3.0
20792,406,2015,11,1.0,-1.0,-2.0
20793,406,2015,10,-1.0,-1.0,0.0
20794,406,2015,9,-1.0,-1.0,0.0
20795,406,2015,8,-5.0,-1.0,4.0
20827,407,2016,8,4.0,-2.0,-6.0
20834,407,2015,12,7.0,-1.0,-8.0
20835,407,2015,11,6.0,-1.0,-7.0
20836,407,2015,10,5.0,-1.0,-6.0
20837,407,2015,9,4.0,-1.0,-5.0
20838,407,2015,8,4.0,-1.0,-5.0
20942,408,2016,8,-0.0,-1.0,-1.0
20950,408,2015,12,4.0,-1.0,-5.0
20951,408,2015,11,3.0,-1.0,-4.0
20952,408,2015,10,3.0,-1.0,-4.0
20953,408,2015,9,3.0,-1.0,-4.0
20954,408,2015,8,0.0,-1.0,-1.0
21058,409,2016,8,-1.0,-1.0,0.0
21066,409,2015,12,-0.0,-1.0,-1.0
21067,409,2015,11,-0.0,-1.0,-1.0
21068,409,2015,10,0.0,-1.0,-1.0
21069,409,2015,9,-1.0,-1.0,0.0
21070,409,2015,8,-1.0,-1.0,0.0
21173,410,2016,8,-1.0,-2.0,-1.0
21181,410,2015,12,1.0,-1.0,-2.0
21182,410,2015,11,0.0,-1.0,-1.0
21183,410,2015,10,0.0,-1.0,-1.0
21184,410,2015,9,-1.0,-1.0,0.0
21185,410,2015,8,-2.0,-2.0,0.0
21289,411,2016,8,-4.0,-2.0,2.0
21297,411,2015,12,1.0,-1.0,-2.0
21298,411,2015,11,1.0,-1.0,-2.0
21299,411,2015,10,1.0,-1.0,-2.0
21300,411,2015,9,-3.0,-1.0,2.0
21301,411,2015,8,-4.0,-1.0,3.0
21337,412,2016,8,-2.0,-2.0,0.0
21345,412,2015,12,-0.0,-1.0,-1.0
21346,412,2015,11,-1.0,-1.0,0.0
21347,412,2015,10,-1.0,-1.0,0.0
21348,412,2015,9,-2.0,-1.0,1.0
21349,412,2015,8,-2.0,-1.0,1.0
21393,413,2015,12,-3.0,-1.0,2.0
21394,413,2015,11,-3.0,-1.0,2.0
21395,413,2015,10,-3.0,-1.0,2.0
21396,413,2015,9,-3.0,-1.0,2.0
21397,413,2015,8,-3.0,-1.0,2.0
21466,414,2016,8,-3.0,-2.0,1.0
21474,414,2015,12,-3.0,-1.0,2.0
21475,414,2015,11,-3.0,-1.0,2.0
21476,414,2015,10,-3.0,-2.0,1.0
21477,414,2015,9,-3.0,-2.0,1.0
21478,414,2015,8,-3.0,-2.0,1.0
21585,416,2015,9,-1.0,-1.0,0.0
21586,416,2015,8,-2.0,-1.0,1.0
21650,417,2015,10,-3.0,-1.0,2.0
21651,417,2015,9,-3.0,-1.0,2.0
21652,417,2015,8,-3.0,-1.0,2.0
21699,418,2016,8,-3.0,-2.0,1.0
21706,418,2015,12,0.0,-1.0,-1.0
21707,418,2015,11,-0.0,-1.0,-1.0
21708,418,2015,10,-0.0,-1.0,-1.0
21709,418,2015,9,-2.0,-1.0,1.0
21710,418,2015,8,-2.0,-1.0,1.0
21729,419,2015,12,-3.0,-1.0,2.0
21730,419,2015,11,-5.0,-1.0,4.0
21731,419,2015,10,-4.0,-1.0,3.0
21732,419,2015,9,-5.0,-1.0,4.0
21733,419,2015,8,-4.0,-1.0,3.0
21773,420,2016,8,-2.0,-1.0,1.0
21804,421,2016,8,-3.0,-1.0,2.0
21812,421,2015,12,6.0,-1.0,-7.0
21813,421,2015,11,4.0,-1.0,-5.0
21814,421,2015,10,2.0,-1.0,-3.0
21815,421,2015,9,2.0,-1.0,-3.0
21816,421,2015,8,3.0,-1.0,-4.0
21848,423,2016,8,-1.0,-2.0,-1.0
21856,423,2015,12,5.0,-1.0,-6.0
21857,423,2015,11,4.0,-1.0,-5.0
21858,423,2015,10,3.0,-1.0,-4.0
21859,423,2015,9,0.0,-1.0,-1.0
21860,423,2015,8,-3.0,-1.0,2.0
21881,424,2016,8,-4.0,-1.0,3.0
21889,424,2015,12,-1.0,-1.0,0.0
21890,424,2015,11,-1.0,-1.0,0.0
21891,424,2015,10,-0.0,-1.0,-1.0
21892,424,2015,9,-1.0,-1.0,0.0
21893,424,2015,8,0.0,-1.0,-1.0
21926,425,2016,8,3.0,-1.0,-4.0
