,0,1,2,3
0,0.12244897959183673,-0.33077535388097057,448.0,314.75204595899464
1,0.21768707482993196,-0.33202578240400693,476.0,314.38441997322195
2,0.3299319727891156,-0.3332762109269829,509.0,314.01679398746705
3,-0.6700680272108843,-0.334526639450037,215.0,313.64916800168913
4,0.2766579024247736,-0.34192577277909986,1352.0,41.22119224299206
5,-0.004606845097642615,-0.34317620130209714,756.0,38.57153420276086
6,0.15207083305242816,-0.3444266298251051,1088.0,35.92187616250703
7,0.15867772309490102,-0.3456770583481379,1102.0,33.27221812220057
8,0.13036248005573162,-0.3469274868711245,1042.0,30.622560081991878
9,-0.05463044113350859,-0.3481779153941218,650.0,27.972902041760562
10,-0.29625384840108765,-0.3494283439171262,138.0,25.323244001514354
11,-0.24858985595181912,-0.3506787724400986,239.0,22.67358596133579
12,-0.1612845232477134,-0.3415372183771559,424.0,42.04453902071134
13,-0.16081260253039392,-0.3427876469001425,425.0,39.39488098050276
14,-0.05038315467763318,-0.34403807542312914,659.0,36.74522294029407
15,-0.022067911638463757,-0.3452885039461939,719.0,34.09556489991974
16,-0.11687096034409332,-0.254156172407076,322.0,-115.80254126885177
17,-0.08676747962913565,-0.2554066009300413,418.0,-119.79015782858812
18,-0.03879005723967187,-0.2579074579761069,571.0,-127.76539094849136
19,-0.1174981161923216,-0.2591578864990509,320.0,-131.75300750815984
20,-0.15512746708601868,-0.26040831502209794,200.0,-135.74062406815676
21,-0.1789593893186935,-0.26165874354511653,124.0,-139.72824062806308
22,-0.15324599954133383,-0.2629091720681245,206.0,-143.7158571879354
23,-0.10370068753129934,-0.2537676180051107,364.0,-114.56344128098453
24,-0.19871479853788448,-0.25501804652810445,61.0,-118.5510578408115
25,-0.1604582917959591,-0.2562684750511053,183.0,-122.5386744006612
26,-0.16202618141652983,-0.25751890357415586,178.0,-126.52629096066948
27,-0.09270420004492029,-0.3531927257293297,1209.0,-988.4812026736777
28,-0.19156621995957177,-0.35444315425231987,375.0,-999.029817693623
29,-0.1890768885228719,-0.3556935827753278,396.0,-1009.578432713718
30,-0.0719597714057548,-0.35694401129831443,1384.0,-1020.1270477336329
31,-0.1448616206233935,-0.3581944398213117,769.0,-1030.6756627536383
32,-0.1878914926006339,-0.3594448683443303,406.0,-1041.224277773823
33,-0.2194230241321654,-0.3606952968673489,140.0,-1051.772892794008
34,-0.15446332759352152,-0.3619457253903249,688.0,-1062.3215078138333
35,-0.18682463627061965,-0.35280417132733244,415.0,-985.2033577384291
36,-0.1020688278306007,-0.35405459985031906,1130.0,-995.751972758344
37,-0.0806131616380924,-0.355305028373327,1311.0,-1006.300587778439
38,-0.09732724414164859,-0.3565554568963669,1170.0,-1016.8492027988036
39,-0.3465974354766872,-0.210552665098686,18.0,418.24371445207953
40,-0.3404791485970135,-0.21180309362166552,36.0,414.56495373747373
41,-0.35169600787641525,-0.21305352214469833,3.0,410.88619302271127
