,0,1,2,3,,,,,,,,,
0,0.12244898,-0.225931803,448,345.57605,,0.12136917,,335.3042538,0.095067835,,10490.66553,77491514080,21970942.47
1,0.217687075,-0.227348877,476,345.1594301,,0.198056999,,,,,17119.25473,,
2,0.329931973,-0.228765951,509,344.7428103,,0.31214337,,,,,26980.42437,,
3,-0.670068027,-0.230183026,215,344.3261904,,0.193498815,,,,,16725.26352,,
4,0.276657902,-0.181271296,1352,381.6480282,,0.209699151,,,,,941582.9492,,
5,-0.004606845,-0.18268837,756,378.6452478,,0.03171303,,,,,142396.609,,
6,0.152070833,-0.184105445,1088,375.6424674,,0.11301449,,,,,507453.2543,,
7,0.158677723,-0.185522519,1102,372.639687,,0.118473807,,,,,531966.4662,,
8,0.13036248,-0.186939593,1042,369.6369066,,0.100680606,,,,,452072.1294,,
9,-0.054630441,-0.188356668,650,366.6341262,,0.017882704,,,,,80296.21843,,
10,-0.296253848,-0.189773742,138,363.6313458,,0.011338013,,,,,50909.50421,,
11,-0.248589856,-0.191190816,239,360.6285654,,0.00329465,,,,,14793.50792,,
12,-0.161284523,-0.165076054,424,415.9657459,,1.44E-05,,,,,64.54923894,,
13,-0.160812603,-0.166493128,425,412.9629655,,3.23E-05,,,,,144.8901996,,
14,-0.050383155,-0.167910203,659,409.9601851,,0.013812607,,,,,62020.82941,,
15,-0.022067912,-0.169327277,719,406.9574047,,0.021685321,,,,,97370.58128,,
16,-0.11687096,-0.080608727,322,437.640263,,0.00131495,,,,,13372.67043,,
17,-0.08676748,-0.082025801,418,433.1212132,,2.25E-05,,,,,228.6510886,,
18,-0.038790057,-0.08485995,571,424.0831134,,0.002122435,,,,,21584.57157,,
19,-0.117498116,-0.086277024,320,419.5640635,,0.000974757,,,,,9913.002741,,
20,-0.155127467,-0.087694098,200,415.0450136,,0.004547259,,,,,46244.35787,,
21,-0.178959389,-0.089111172,124,410.5259637,,0.008072702,,,,,82097.12787,,
22,-0.153246,-0.090528247,206,406.0069139,,0.003933517,,,,,40002.76561,,
23,-0.103700688,-0.064413485,364,489.2868897,,0.001543484,,,,,15696.80473,,
24,-0.198714799,-0.065830559,61,484.7678398,,0.017658221,,,,,179579.182,,
25,-0.160458292,-0.067247633,183,480.2487899,,0.008688227,,,,,88356.8431,,
26,-0.162026181,-0.068664708,178,475.7297401,,0.008716365,,,,,88642.99814,,
27,-0.0927042,-0.27830413,1209,-356.7210083,,0.034447334,,,,,2451482.276,,
28,-0.19156622,-0.279721204,375,-368.675447,,0.007771301,,,,,553053.1705,,
29,-0.189076889,-0.281138278,396,-380.6298856,,0.0084753,,,,,603153.9792,,
30,-0.071959771,-0.282555353,1384,-392.5843242,,0.044350499,,,,,3156251.861,,
31,-0.144861621,-0.283972427,769,-404.5387629,,0.019351816,,,,,1377193.228,,
32,-0.187891493,-0.285389501,406,-416.4932015,,0.009505862,,,,,676495.0665,,
33,-0.219423024,-0.286806576,140,-428.4476401,,0.004540543,,,,,323132.7195,,
34,-0.154463328,-0.28822365,688,-440.4020788,,0.017891824,,,,,1273291.251,,
35,-0.186824636,-0.262108888,415,-220.097947,,0.005667719,,,,,403349.4023,,
36,-0.102068828,-0.263525962,1130,-232.0523856,,0.026068406,,,,,1855186.701,,
37,-0.080613162,-0.264943036,1311,-244.0068242,,0.033977503,,,,,2418046.223,,
38,-0.097327244,-0.266360111,1170,-255.9612629,,0.02857211,,,,,2033365.523,,
39,-0.346597435,-0.153186128,18,587.0160673,,0.037407934,,,,,323779.2848,,
40,-0.340479149,-0.154603202,36,582.8470347,,0.034549868,,,,,299041.6794,,
41,-0.351696008,-0.156020276,3,578.6780022,,0.038288992,,,,,331405.1622,,
42,-0.346257531,-0.157437351,19,574.5089697,,0.03565306,,,,,308590.2154,,
43,-0.339459434,-0.158854425,39,570.3399371,,0.032618169,,,,,282322.1288,,
44,-0.296631426,-0.160271499,165,566.1709046,,0.01859403,,,,,160938.0947,,
45,-0.330961813,-0.161688573,64,562.001872,,0.02865343,,,,,248005.8645,,
46,-0.305129047,-0.163105648,140,557.8328395,,0.020170646,,,,,174584.2818,,
47,-0.0342249,-0.136990886,937,634.6624692,,0.010560848,,,,,91407.98253,,
48,-0.274197707,-0.13840796,231,630.4934366,,0.018438855,,,,,159595.0059,,
49,-0.338779624,-0.139825034,41,626.3244041,,0.039582929,,,,,342604.658,,
50,-0.342858482,-0.141242109,29,622.1553716,,0.040649162,,,,,351833.2949,,
51,-0.479663692,-0.228588757,118,604.5832241,,0.063038623,,,,,236763.234,,
52,-0.437352031,-0.230005831,200,601.8369342,,0.042992446,,,,,161472.9217,,
53,0.091543738,-0.231422906,1225,599.0906442,,0.104307453,,,,,391762.5217,,
54,0.051812056,-0.23283998,1148,596.3443543,,0.081026782,,,,,304323.9514,,
55,0.250986463,-0.234257054,1534,593.5980643,,0.235461271,,,,,884355.8007,,
56,-0.120014569,-0.235674128,815,590.8517743,,0.013377134,,,,,50242.42708,,
57,-0.225277727,-0.237091203,611,588.1054844,,0.000139558,,,,,524.1588446,,
58,0.03633218,-0.238508277,1118,585.3591944,,0.075537277,,,,,283706.2278,,
59,0.052328052,-0.212393515,1149,635.9696031,,0.070077508,,,,,263200.1881,,
60,-0.151490317,-0.213810589,754,633.2233131,,0.003883816,,,,,14587.0081,,
61,-0.17987009,-0.215227664,699,630.4770232,,0.001250158,,,,,4695.39835,,
62,-0.0911188,-0.216644738,871,627.7307332,,0.015756761,,,,,59179.93617,,
63,-0.189132159,-0.191758841,1817,1792.923828,,6.90E-06,,,,,579.6620582,,
64,-0.240081319,-0.193175915,1350,1779.934925,,0.002200117,,,,,184844.0397,,
65,-0.094216165,-0.19459299,2687,1766.946022,,0.010075507,,,,,846499.3224,,
66,-0.19371431,-0.196010064,1775,1753.957119,,5.27E-06,,,,,442.8028408,,
67,-0.079051425,-0.197427138,2826,1740.968216,,0.014012809,,,,,1177293.972,,
68,-0.014792207,-0.198844213,3415,1727.979313,,0.033875141,,,,,2846038.798,,
69,-0.097052735,-0.200261287,2661,1714.99041,,0.010652005,,,,,894934.1444,,
70,0.109034981,-0.201678361,4550,1702.001508,,0.096542781,,,,,8111095.41,,
71,0.037138843,-0.175563599,3891,1941.369416,,0.045242329,,,,,3801059.414,,
72,0.016300964,-0.176980673,3700,1928.380513,,0.037357791,,,,,3138635.607,,
73,-0.046212674,-0.178397748,3127,1915.39161,,0.017472894,,,,,1467994.891,,
74,-0.061268314,-0.179814822,2989,1902.402707,,0.014053275,,,,,1180693.677,,
75,0.016342591,-0.309198939,301,-31.70344381,,0.105977288,,,,,110691.5815,,
76,0.4233876,-0.310616014,717,-33.15169373,,0.538761306,,,,,562727.5636,,
77,0.089728109,-0.312033088,376,-34.59994364,,0.16141206,,,,,168592.3137,,
78,-0.023774826,-0.314867237,260,-37.49644347,,0.084734791,,,,,88504.13388,,
79,0.134737894,-0.316284311,422,-38.94469339,,0.203421029,,,,,212470.0104,,
80,-0.119665237,-0.317701385,162,-40.3929433,,0.039218316,,,,,40962.9035,,
81,0.006557855,-0.319118459,291,-41.84119322,,0.106065062,,,,,110783.2599,,
82,0.267810301,-0.293003698,558,-15.15190651,,0.314512341,,,,,328503.1079,,
83,0.163113628,-0.294420772,451,-16.60015642,,0.209337727,,,,,218649.9063,,
84,0.173876837,-0.295837846,462,-18.04840634,,0.220631884,,,,,230446.4724,,
85,0.740413041,-0.29725492,1041,-19.49665625,,1.076754798,,,,,1124653.158,,
86,0.395616701,-0.223954564,673,119.7228596,,0.383868553,,,,,306115.5941,,
87,0.450487922,-0.228205787,722,115.9265176,,0.460625151,,,,,367325.0661,,
88,0.388189158,-0.161480219,436,-40.56334957,,0.302136424,,,,,227112.6262,,
89,0.275155709,-0.162897293,338,-41.79195297,,0.191890433,,,,,144241.9275,,
90,-0.02472895,-0.145284977,78,-26.52207477,,0.014533755,,,,,10924.86411,,
91,0.060622837,-0.146702051,152,-27.75067818,,0.042983609,,,,,32310.30631,,
92,-0.096239908,-0.148119125,16,-28.97928158,,0.002691453,,,,,2023.135771,,
93,-0.098546713,-0.1495362,14,-30.20788498,,0.002599928,,,,,1954.337094,,
94,-0.055684071,-0.276609368,2758,2423.740027,,0.048807987,,,,,111729.7295,,
95,-0.265862525,-0.278470503,2440,2420.92413,,0.000158961,,,,,363.8888163,,
96,-0.339226702,-0.280331637,2329,2418.108233,,0.003468629,,,,,7940.277188,,
97,0.660773298,-0.282192772,3842,2415.292336,,0.88918501,,,,,2035494.759,,
98,0.101761013,-0.217613657,28928,17531.43427,,0.10200018,,,,,129881710.4,,
99,-0.197813025,-0.219030731,18238,17480.86739,,0.000450191,,,,,573249.7891,,
100,-0.228022643,-0.220447805,17160,17430.30051,,5.74E-05,,,,,73062.36571,,
101,-0.314896312,-0.22186488,14060,17379.73363,,0.008654847,,,,,11020631.37,,
102,-0.286536263,-0.223281954,15072,17329.16675,,0.004001108,,,,,5094801.737,,
103,0.07791279,-0.224699028,28077,17278.59988,,0.091573913,,,,,116605445.2,,
104,0.123703621,-0.226116103,29711,17228.033,,0.122373839,,,,,155824465.1,,
105,0.412460486,-0.227533177,40015,17177.46612,,0.409591889,,,,,521552953.7,,
106,0.627542876,-0.201418415,47690,18109.34528,,0.687176822,,,,,875015133.7,,
107,-0.008232261,-0.202835489,25003,18058.7784,,0.037870416,,,,,48222213.63,,
108,-0.078319695,-0.204252563,22502,18008.21153,,0.015859087,,,,,20194134.81,,
109,-0.093424504,-0.205669638,21963,17957.64465,,0.01259897,,,,,16042871.48,,
110,-0.267058181,-0.265036115,2,11.17815676,,4.09E-06,,,,,84.23856151,,
111,-0.230664733,-0.20247905,1333,1475.732297,,0.000794433,,,,,20372.50861,,
112,-0.226517813,-0.203896125,1354,1468.556232,,0.000511741,,,,,13123.13029,,
113,-0.170238193,-0.205313199,1639,1461.380168,,0.001230256,,,,,31548.80472,,
114,-0.34954309,-0.206730273,731,1454.204104,,0.020395501,,,,,523024.176,,
115,-0.150490957,-0.208147347,1739,1447.02804,,0.003324259,,,,,85247.62543,,
116,-0.148713706,-0.209564422,1748,1439.851976,,0.00370281,,,,,94955.2047,,
117,-0.308863785,-0.210981496,937,1432.675912,,0.009580943,,,,,245694.6097,,
118,-0.053729504,-0.21239857,2229,1425.499847,,0.025175873,,,,,645612.4959,,
119,-0.306296644,-0.186283808,950,1557.745002,,0.014403081,,,,,369353.9875,,
120,-0.13647042,-0.187700883,1810,1550.568938,,0.00262456,,,,,67304.47593,,
121,-0.140814812,-0.189117957,1788,1543.392874,,0.002333194,,,,,59832.64609,,
122,-0.17339775,-0.190535031,1623,1536.216809,,0.000293686,,,,,7531.32224,,
123,-0.472331835,-0.247504942,407,4343.718904,,0.050547132,,,,,15497755.73,,
124,-0.492663075,-0.248922016,51,4318.905934,,0.059409704,,,,,18215021.06,,
125,-0.49140665,-0.25033909,73,4294.092963,,0.058113568,,,,,17817625.8,,
126,-0.489122241,-0.251756165,113,4269.279992,,0.056342654,,,,,17274663.37,,
127,-0.486952052,-0.253173239,151,4244.467022,,0.054652534,,,,,16756472.26,,
128,-0.48895091,-0.254590313,116,4219.654051,,0.054924889,,,,,16839976.57,,
129,-0.487066273,-0.256007387,149,4194.84108,,0.053388208,,,,,16368830.04,,
130,-0.341320984,-0.229892626,2701,4652.110562,,0.012416279,,,,,3806832.425,,
131,-0.454741887,-0.2313097,715,4627.297592,,0.049921942,,,,,15306072.45,,
132,-0.461652224,-0.232726774,594,4602.484621,,0.052406861,,,,,16067948.96,,
133,-0.462623097,-0.234143848,577,4577.67165,,0.052202767,,,,,16005373.65,,
134,-0.149717044,-0.240304779,4828,3833.256075,,0.008206138,,,,,989515.4763,,
135,-0.125948717,-0.243138928,5089,3802.13429,,0.013733546,,,,,1656023.356,,
136,-0.0116604,-0.244556002,6344,3786.573397,,0.054240361,,,,,6540430.83,,
137,0.08814836,-0.245973076,7440,3771.012505,,0.111637134,,,,,13461469.24,,
138,-0.022497301,-0.247390151,6225,3755.451612,,0.050576794,,,,,6098669.241,,
139,-0.126950447,-0.248807225,5078,3739.890719,,0.014849074,,,,,1790536.448,,
140,0.284578558,-0.250224299,9597,3724.329827,,0.286014096,,,,,34488254.96,,
141,0.442032342,-0.224109537,11326,4011.096028,,0.443745003,,,,,53507820.12,,
142,0.329292154,-0.225526612,10088,3995.535135,,0.307823863,,,,,37118128.13,,
143,0.170381308,-0.226943686,8343,3979.974242,,0.157867151,,,,,19035993.76,,
144,0.086509165,-0.22836076,7422,3964.41335,,0.09914307,,,,,11954905.44,,
145,0.525611411,-0.23592847,32832,6760.682161,,0.579942991,,,,,679713613.9,,
146,0.4752828,-0.237345544,31109,6712.168623,,0.507839158,,,,,595205381.2,,
147,0.471310258,-0.238762619,30973,6663.655085,,0.504203489,,,,,590944250.2,,
148,0.452937247,-0.240179693,30344,6615.141547,,0.480411093,,,,,563058723.5,,
149,0.261232851,-0.241596767,23781,6566.628009,,0.252837625,,,,,296334603,,
150,0.390136021,-0.243013841,28194,6518.114471,,0.400878748,,,,,469844013.5,,
151,0.154850494,-0.244430916,20139,6469.600933,,0.159425644,,,,,186852470.9,,
152,0.580934911,-0.24584799,34726,6421.087395,,0.683569965,,,,,801168077.6,,
153,0.5788318,-0.219733228,34654,7315.12627,,0.637706104,,,,,747414016.8,,
154,0.540362397,-0.221150302,33337,7266.612732,,0.579901592,,,,,679665092.3,,
155,0.445926878,-0.222567377,30104,7218.099194,,0.446884568,,,,,523764455.7,,
156,0.483724454,-0.223984451,31398,7169.585656,,0.500851893,,,,,587016061.6,,
157,0.186100069,-0.216194849,5268,3142.675946,,0.161841201,,,,,4517002.335,,
158,0.143889204,-0.217611923,5045,3135.189543,,0.130683065,,,,,3647375.982,,
159,0.355132816,-0.219028998,6161,3127.703139,,0.329661788,,,,,9200889.847,,
160,0.182314342,-0.220446072,5248,3120.216736,,0.162215951,,,,,4527461.619,,
161,-0.222569247,-0.221863146,3109,3112.730332,,4.99E-07,,,,,13.91537683,,
162,-0.644867184,-0.22328022,878,3105.243929,,0.177735568,,,,,4960615.519,,
163,-0.111719939,-0.156396308,41,-27.48887338,,0.001995978,,,,,4690.725777,,
164,0.397086323,-0.157813382,821,-29.66124825,,0.307913683,,,,,723624.5593,,
165,-0.135203305,-0.159230456,5,-31.83362312,,0.000577304,,,,,1356.715792,,
166,-0.135203305,-0.160647531,5,-34.005998,,0.000647409,,,,,1521.46788,,
167,-0.136507937,-0.162064605,3,-36.17837287,,0.000653143,,,,,1534.944901,,
168,-0.122156991,-0.163481679,25,-38.35074774,,0.00170773,,,,,4013.317239,,
169,-0.112372255,-0.164898754,40,-40.52312262,,0.002759033,,,,,6483.973276,,
170,-0.112372255,-0.166315828,40,-42.69549749,,0.002909909,,,,,6838.545305,,
171,-0.111719939,-0.140201066,41,-2.661567422,,0.000811175,,,,,1906.33247,,
172,-0.137160252,-0.14161814,2,-4.833942295,,1.99E-05,,,,,46.70276729,,
173,-0.111719939,-0.144452289,41,-9.178692042,,0.001071407,,,,,2517.901135,,
174,-0.239491335,-0.160180703,40,164.438381,,0.006290176,,,,,15484.91067,,
175,-0.240766032,-0.161597778,38,162.2149915,,0.006267613,,,,,15429.36411,,
176,-0.220370876,-0.163014852,70,159.9916019,,0.003289714,,,,,8098.488413,,
177,-0.220370876,-0.164431926,70,157.7682124,,0.003129166,,,,,7703.259108,,
178,-0.217184133,-0.165849001,75,155.5448228,,0.002635296,,,,,6487.46848,,
179,-0.198701023,-0.167266075,104,153.3214333,,0.000988156,,,,,2432.603783,,
180,-0.240766032,-0.168683149,38,151.0980437,,0.005195942,,,,,12791.16749,,
181,-0.208261252,-0.170100223,89,148.8746542,,0.001456264,,,,,3584.974216,,
182,-0.224832317,-0.143985461,63,189.8487157,,0.006536214,,,,,16090.59667,,
183,-0.201887766,-0.145402536,99,187.6253261,,0.003190581,,,,,7854.448426,,
184,-0.208898601,-0.14681961,88,185.4019366,,0.003853801,,,,,9487.137253,,
185,-0.212722693,-0.148236684,82,183.178547,,0.004158445,,,,,10237.09837,,
186,-0.051270658,-0.195227648,5693,4749.217975,,0.020723615,,,,,890724.5107,,
187,-0.22256413,-0.196644722,4570,4739.927636,,0.000671816,,,,,28875.40148,,
188,-0.538915564,-0.198061796,2496,4730.637297,,0.116181291,,,,,4993603.849,,
189,0.234879433,-0.199478871,7569,4721.346958,,0.188667136,,,,,8109127.848,,
190,-0.234461628,-0.200895945,4492,4712.056619,,0.001126655,,,,,48424.91557,,
191,-0.060117516,-0.202313019,5635,4702.76628,,0.020219561,,,,,869059.7087,,
192,-0.296847229,-0.203730094,4083,4693.475941,,0.008670801,,,,,372680.8745,,
193,0.127496883,-0.205147168,6865,4684.185602,,0.110652065,,,,,4755951.439,,
194,0.227710428,-0.179032406,7522,4855.393981,,0.165439733,,,,,7110787.661,,
195,0.370938006,-0.18044948,8461,4846.103642,,0.30402816,,,,,13067475.68,,
196,0.367277237,-0.181866555,8437,4836.813303,,0.301558904,,,,,12961344.25,,
197,0.194000849,-0.183283629,7301,4827.522964,,0.142343577,,,,,6118088.648,,
198,-0.236271557,-0.245663026,480,382.732555,,8.82E-05,,,,,9460.955857,,
199,-0.247375158,-0.2470801,365,368.0559166,,8.71E-08,,,,,9.338626266,,
200,-0.18992609,-0.248497175,960,353.3792783,,0.003430572,,,,,367988.7,,
201,-0.279623879,-0.249914249,31,338.70264,,0.000882662,,,,,94680.91466,,
202,-0.278851455,-0.251331323,39,324.0260016,,0.000757358,,,,,81239.82159,,
203,-0.1191527,-0.252748397,1693,309.3493633,,0.01784781,,,,,1914489.084,,
204,-0.108821523,-0.254165472,1800,294.672725,,0.021124863,,,,,2266010.205,,
205,0.059084241,-0.255582546,3539,279.9960866,,0.099015187,,,,,10621106.51,,
206,-0.242933718,-0.229467784,411,550.4666762,,0.000181331,,,,,19450.95377,,
207,-0.229030078,-0.230884858,555,535.7900378,,3.44E-06,,,,,369.0226477,,
208,-0.277982477,-0.232301933,48,521.1133995,,0.002086712,,,,,223836.2888,,
209,-0.271030657,-0.233719007,120,506.4367612,,0.001392159,,,,,149333.3704,,
210,0.3154733,-0.232706422,11792,792.2257019,,0.300501007,,,,,120995034.6,,
211,0.381405723,-0.234123496,13115,763.7906893,,0.37887622,,,,,152552371.4,,
212,0.52119442,-0.235540571,15920,735.3556768,,0.572647846,,,,,230573423.2,,
213,0.456557721,-0.236957645,14623,706.9206643,,0.480963563,,,,,193657264.1,,
214,0.360125946,-0.238374719,12688,678.4856517,,0.358203046,,,,,144228434.9,,
215,0.445693573,-0.239791793,14405,650.0506392,,0.469890187,,,,,189198631.9,,
216,0.026377317,-0.241208868,5991,621.6156267,,0.071602366,,,,,28830288.55,,
217,0.591362864,-0.242625942,17328,593.1806142,,0.695537329,,,,,280054179.9,,
218,0.733194819,-0.21651118,20174,1117.199427,,0.901941484,,,,,363161648.1,,
219,0.749640548,-0.217928254,20504,1088.764415,,0.936189387,,,,,376951372.8,,
220,0.501210367,-0.219345329,15519,1060.329402,,0.519200511,,,,,209053155.5,,
221,0.586478981,-0.220762403,17230,1031.89439,,0.651638652,,,,,262378625.4,,
222,-0.333051566,-0.161958438,551,2254.574274,,0.029272858,,,,,2902165.307,,
223,-0.338173591,-0.163375513,500,2240.464466,,0.030554368,,,,,3029216.557,,
224,-0.341086115,-0.164792587,471,2226.354657,,0.031079408,,,,,3081269.972,,
