,car_name,price,structure,emission,gearbox,fc, bdi_num
294,标致2008,9.97-16.37万,SUV,1.2T 1.6L 1.6T,手动 手自一体,5-7L,2600
295,猎豹飞腾C5,7.98-8.89万,SUV,1.5T,AMT,暂无,281
296,标致408,12.97-18.97万,三厢,1.2T 1.6T 1.8L,手动 手自一体,5-8L,3200
297,雪佛兰赛欧两厢,6.29-7.99万,三厢,1.3L 1.5L,手动 AMT,5-6L,null
298,一汽夏利N7,4.89-5.29万,两厢,1.3L,手动 自动,5-6L,1500
299,一汽夏利N5,3.69-4.89万,三厢,1.0L 1.3L,手动,6-6L,22460
300,长安商用欧力威,3.98-6.59万,两厢,1.2L 1.4L,手动 AMT,6-7L,2700
301,启辰T70,8.98-12.78万,SUV,1.6L 2.0L,手动 无级,7-8L,18707
302,本田雅阁,16.98-27.98万,三厢,2.0L 2.4L,无级 无级,4-10L,59800
303,起亚KX3傲跑,11.68-17.78万,SUV,1.6L 1.6T,手动 双离合 手自一体,7-8L,12355
304,中华尊驰,10.88-25.28万,三厢,1.8T 2.0L,手动 手自一体,8-10L,15027
305,铃木启悦,7.89-11.39万,三厢,1.6L,手动 手自一体,5-6L,4200
306,起亚K2三厢,7.29-10.39万,两厢 三厢,1.4L 1.6L,手动 自动 手自一体,5-6L,22000
307,五菱征程,6.60-7.72万,客车,1.5L 1.8L,手动,8-9L,2478
308,长安奔奔mini,18.50-38.50万,两厢 软顶敞篷车,1.2T 1.5T 2.0T,手动 手自一体,5-8L,43600
309,东风郑州日产奥丁,12.68-15.98万,SUV,2.4L 2.5T,手动,7-10L,1011
310,猎豹奇兵,9.98-12.48万,SUV,2.2L,手动,11-12L,null
311,福特翼搏,9.48-12.98万,SUV,1.0T 1.5L,手动 双离合,6-6L,9900
312,雪佛兰创酷,9.99-14.99万,SUV,1.4T,手动 手自一体,7-8L,41669
313,现代朗动,10.58-12.78万,三厢,1.6L,手动 手自一体,6-7L,113435
314,荣威W5,14.28-22.18万,SUV,1.8T,手动 手自一体,10-13L,11000
315,大众途观,19.98-31.58万,SUV,1.4T 1.8T 2.0T,手动 双离合 手自一体,7-10L,2200
316,众泰5008,5.38-7.48万,SUV,1.3L 1.5L,手动 无级,7-8L,1902
317,长安CX30三厢,6.38-10.68万,两厢 三厢,1.6L 2.0L,手动 自动,7-9L,4198
318,别克君威,17.89-27.99万,三厢,1.6T 2.0L 2.0T,手自一体,8-10L,12900
319,大众朗逸,10.99-15.99万,三厢,1.2T 1.4T 1.6L,手动 双离合 手自一体,5-9L,75200
320,哈飞小霸王,3.28-3.78万,客车,1.0L,手动,8-9L,422
321,别克凯越,8.69-16.48万,两厢 三厢 旅行版,1.5L 1.6L 1.8L,手动 自动 手自一体,7-9L,50300
322,比亚迪e6,30.98-36.98万,MPV,暂无,固定齿比,暂无,4087
323,福特锐界,24.98-44.98万,SUV,2.0T 2.7T,手自一体,8-11L,11100
324,吉利帝豪EV,19.48-24.98万,三厢,暂无,固定齿比,暂无,null
325,哈弗H6 COUPE,12.28-17.18万,SUV,1.5T 2.0T,手动 自动 双离合,6-8L,null
326,雪铁龙C5,17.99-23.69万,三厢,1.6T 1.8T 2.0L 2.3L,手自一体,6-10L,93300
327,吉利GX7,6.99-13.19万,SUV,1.8L 2.0L 2.4L,手动 手自一体,8-10L,25900
328,雪铁龙C2,7.18-10.68万,两厢,1.4L 1.6L,手动 手自一体,6-7L,4400
329,东南希旺,3.68-4.98万,客车,1.3L,手动,暂无,482
330,长城长城M,4.08-6.50万,SUV,1.5L,AMT,6-7L,null
331,马自达3经典,9.68-16.48万,三厢,1.6L 2.0L,手动 手自一体,8-9L,null
332,吉利帝豪GS,7.78-10.88万,SUV,1.3T 1.8L,手动 双离合,6-7L,51430
333,江淮第二代瑞风S3,6.58-9.58万,SUV,1.5L 1.6L,手动 无级,6-7L,19500
334,奇瑞东方之子,8.18-20.18万,三厢,1.8L 2.0L 2.4L,手动 无级 手自一体,9-9L,4883
335,宝骏630,5.98-7.48万,三厢,1.5L,手动 手自一体,6-8L,51100
336,福特福克斯三厢,9.98-16.58万,两厢 三厢,1.0T 1.5T 1.6L 1.8L,手动 双离合 手自一体,5-9L,null
337,福特麦柯斯S-MAX,19.48-24.58万,MPV,2.3L,手自一体,11-11L,254
338,比亚迪秦EV,20.98-30.98万,三厢,1.5T,双离合 固定齿比,1-2L,1700
339,丰田普锐斯,22.98-26.98万,两厢,1.8L,无级,4-5L,1900
340,东风风神AX3,6.97-8.77万,SUV,1.4T 1.5L,手动 自动,6-7L,3403
341,东风风神AX7,9.97-14.17万,SUV,1.4T 2.0L 2.3L,手动 手自一体,8-10L,31134
342,吉利英伦TX4,20.80-22.80万,两厢,2.4L 2.5T,手动 自动,9-11L,286
343,三菱帕杰罗劲畅,20.88-30.88万,SUV,2.4L 3.0L,手动 手自一体,11-11L,3495
344,力帆620,4.59-6.98万,三厢,1.5L 1.6L,手动 无级,8-8L,14294
345,力帆X50,5.98-8.28万,SUV,1.5L,手动 无级,6-6L,1388
346,五菱荣光S,4.03-5.78万,客车,1.2L 1.5L,手动,7-7L,9100
347,丰田锐志,20.98-31.48万,三厢,2.5L 3.0L,手自一体,9-10L,12000
348,五菱荣光V,3.78-4.58万,客车,1.2L 1.5L,手动,7-7L,6553
349,力帆X60,7.54-9.09万,SUV,1.8L,手动 无级,8-8L,9556
350,海马丘比特,4.99-6.39万,两厢,1.3L 1.5L,手动 AMT,6-7L,1400
351,起亚KX5,15.68-23.18万,SUV,1.6T 2.0L,手动 自动 双离合,7-7L,4100
352,吉利自由舰,3.38-5.58万,三厢,1.0L 1.3L 1.5L 1.6L,手动 自动,7-8L,27700
353,北汽幻速S6,7.98-11.68万,SUV,1.5T,手动 无级,10-11L,18848
354,北汽幻速S3,5.38-5.88万,SUV,1.5L,手动,7-7L,33403
355,威麟V5,8.58-13.78万,MPV,1.8L 1.9T 2.0L 2.0T,手动 手自一体,8-9L,7255
356,东风风神H30 CROSS,6.58-9.98万,两厢,1.5L 1.6L,手动 自动 手自一体,6-8L,1741
357,吉利博瑞,11.98-22.98万,三厢,1.8T 2.4L 3.5L,手自一体,8-10L,18000
358,起亚赛拉图欧风,8.98-11.48万,三厢,1.6L,手动 自动,7-8L,19700
359,东风风行菱智,5.59-9.89万,MPV,1.5L 1.6L 2.0L,手动,7-10L,38223
360,大众途安,15.58-23.08万,MPV,1.4T 1.8T,手动 双离合,6-10L,30400
361,众泰云100,15.89-16.99万,两厢,暂无,固定齿比,暂无,1766
362,北汽绅宝X35,6.58-8.88万,SUV,1.5L,手动 自动,7-7L,7524
363,雪佛兰乐风RV,7.49-9.99万,两厢,1.5L,手动 自动,6-6L,4239
364,吉利SC3,4.08-4.78万,三厢,1.3L,手动,7-7L,1490
365,荣威750,16.28-27.68万,三厢,1.8T 2.5L,手动 自动 手自一体,8-10L,10656
366,北汽绅宝X25,5.58-7.58万,SUV,1.5L,手动 自动,6-7L,10140
367,本田思域,11.59-16.99万,三厢,1.0T 1.5T,手动 无级,5-8L,1600
368,奥迪Q5,40.04-52.53万,SUV,2.0T,手自一体,8-10L,2400
369,奥迪Q3,23.42-34.28万,SUV,1.4T 2.0T,双离合,6-8L,2100
370,日产轩逸,9.98-15.90万,三厢,1.6L 1.8L,手动 自动 无级,5-8L,1000
371,北汽绅宝X55,7.68-11.98万,SUV,1.5L 1.5T,手动 无级,7-8L,9338
372,马自达2三厢,7.58-11.08万,两厢 三厢,1.3L 1.5L,手动 自动,6-7L,35000
373,一汽佳宝V80,4.09-5.49万,客车,1.3L 1.5L,手动,6-7L,597
374,北汽幻速H2,3.98-6.68万,客车,1.5L,手动 自动,6-7L,6501
375,北汽幻速H3,5.58-6.28万,MPV,1.5L,手动,7-7L,7275
376,铃木天语SX4,7.98-9.98万,两厢,1.6L,手动 自动,7-8L,null
377,东风风神S30,5.98-8.18万,三厢,1.5L 1.6L,手动 手自一体,6-8L,6400
378,海马V70,7.89-12.89万,MPV,1.5T 2.0L,手动 手自一体,8-8L,4269
379,丰田RAV4,17.98-26.98万,SUV,2.0L 2.5L,无级 手自一体,6-10L,14900
380,奇瑞瑞虎5,8.88-12.38万,SUV,1.5T,手动 无级,7-9L,6800
381,奇瑞瑞虎3,6.89-9.29万,SUV,1.6L,手动 无级,7-8L,42700
382,众泰V10,3.78-5.08万,客车,1.2L,手动,7-10L,70
383,马自达2,7.58-11.08万,两厢 三厢,1.3L 1.5L,手动 自动,6-7L,null
384,中华骏捷,9.88万,三厢,1.8L,手动,8-10L,null
385,日产逍客,13.98-18.98万,SUV,1.2T 2.0L,手动 无级,6-9L,25400
386,本田艾力绅,24.98-30.98万,MPV,2.4L,无级,8-9L,2500
387,铃木利亚纳三厢,5.29-8.29万,两厢 三厢,1.4L 1.5L,手动 自动,6-8L,null
388,丰田皇冠,25.48-38.98万,三厢,2.0T 2.5L,手自一体,7-11L,14200
389,三菱戈蓝,14.98-19.98万,三厢,2.0L 2.4L,手自一体,9-10L,800
390,广汽传祺GS5速博,11.68-21.88万,SUV,1.8T 2.0L,手动 自动,7-9L,17000
391,标致308S,11.27-17.97万,两厢,1.2T 1.6L 1.6T,手动 手自一体,5-5L,15341
392,中华V3,6.57-11.77万,SUV,1.5L 1.5T,手动 手自一体,6-8L,27500
393,江淮瑞风S2,5.88-7.68万,SUV,1.5L,手动 无级,6-7L,2300
394,中华V5,8.98-14.58万,SUV,1.5T 1.6L,手动 手自一体,7-8L,13800
395,海马福美来,6.88-9.28万,三厢,1.6L,手动 手自一体,6-8L,15800
396,宝马5系,43.56-77.86万,三厢,2.0T 3.0T,手自一体,7-10L,126945
397,荣威360,7.59-12.99万,三厢,1.4T 1.5L,手动 双离合 手自一体,6-6L,15925
398,福特福睿斯,9.68-12.23万,三厢,1.5L,手动 手自一体,6-7L,7700
399,一汽威志V2,4.69-5.89万,两厢,1.3L,手动 AMT,6-7L,11548
400,吉利GC7,6.19-8.99万,三厢,1.5L 1.8L,手动 手自一体,7-8L,19367
401,中华H330,6.58-7.58万,三厢,1.5L,手动 手自一体,8-9L,2200
402,标致3008,14.07-22.32万,SUV,1.6T 2.0L,手动 手自一体,6-9L,5800
403,荣威350,7.87-14.07万,三厢,1.5L 1.5T,手动 手自一体,7-8L,14400
404,本田哥瑞,7.98-11.98万,三厢,1.5L,手动 无级,5-6L,8106
405,中华骏捷FRV,5.58-8.53万,两厢,1.3L 1.5L 1.6L,手动 手自一体,7-8L,1086
406,起亚K2两厢,7.29-10.39万,两厢 三厢,1.4L 1.6L,手动 自动 手自一体,5-6L,null
407,宝马3系,28.80-48.69万,三厢,1.5T 2.0T,手自一体,6-10L,88000
408,本田CR-V,17.98-24.98万,SUV,2.0L 2.4L,无级,7-10L,1400
409,金杯阁瑞斯,7.98-27.18万,客车,2.0L 2.2L 2.4L 2.7L,手动 自动,11-13L,4683
410,比亚迪F3,4.39-7.79万,三厢,1.5L,手动 双离合,6-8L,12100
411,比亚迪速锐,6.99-9.59万,三厢,1.5L,手动 双离合,6-6L,2400
412,东南V5菱致,6.59-10.59万,三厢,1.5L 1.5T,手动 无级,6-7L,14681
413,中华骏捷FSV,6.58-9.78万,三厢,1.5L 1.6L,手动 手自一体,7-8L,16900
414,比亚迪F0,3.79-4.79万,两厢,1.0L,手动 AMT,5-6L,15000
415,哈飞民意,2.89万,客车,1.0L,手动,6-8L,1060
416,比亚迪G3,6.29-10.99万,三厢,1.5L 1.8L,手动 无级 双离合,6-8L,7200
417,比亚迪G6,7.98-11.58万,三厢,1.5T 2.0L,手动 双离合,7-8L,11700
418,比亚迪G5,7.59-10.29万,三厢,1.5T,手动 双离合,6-6L,1900
419,众泰Z300,5.49-7.58万,三厢,1.5L,手动,6-7L,9100
420,猎豹黑金刚,10.98-17.98万,SUV,2.2L 2.4L 2.5T,手动,8-12L,4557
421,雪佛兰科帕奇,17.99-20.99万,SUV,2.4L,手自一体,10-10L,18900
422,现代领动,9.98-15.18万,三厢,1.4T 1.6L,手动 双离合 手自一体,6-6L,19179
423,标致301,8.47-11.97万,三厢,1.6L,手动 手自一体,6-8L,27800
424,现代全新胜达,22.48-28.98万,SUV,2.0T 2.4L,手动 手自一体,9-10L,13400
425,马自达Mazda6 Atenza阿特兹,17.58-23.58万,三厢,2.0L 2.5L,手自一体,6-7L,null
426,标致308,9.97-15.97万,三厢,1.2T 1.6L 1.6T,手动 手自一体,5-8L,24800
427,比亚迪宋,8.99-14.99万,SUV,1.5T 2.0T,手动 双离合,2-2L,2600
428,比亚迪L3,5.49-7.19万,三厢,1.5L,手动 双离合,6-8L,28300
429,力帆丰顺,3.28-4.94万,客车,1.0L 1.3L,手动,6-9L,340
430,东南V6菱仕,7.99-9.79万,两厢,1.5L 1.5T,手动 无级,6-7L,3588
431,比亚迪M6,10.39-15.39万,MPV,2.0L 2.4L,手动 双离合 手自一体,9-11L,7600
432,吉利SX7,9.28-12.99万,SUV,1.8L 2.0L 2.4L,手动 手自一体,暂无,2500
433,吉利金刚,4.59-6.59万,两厢 三厢,1.5L,手动 自动,6-8L,200
434,大众帕萨特,18.39-33.29万,三厢,1.4T 1.8T 2.0T 3.0L,手动 双离合,6-10L,1200
435,福特翼虎,18.48-27.08万,SUV,1.5T 2.0T,手自一体,7-9L,1100
436,本田缤智,12.88-18.98万,SUV,1.5L 1.8L,手动 无级,6-7L,6600
437,东风风行S500,5.99-9.99万,MPV,1.5L 1.6L,手动 无级,6-6L,3400
438,海马骑士,10.58-15.28万,SUV,2.0L,手动 手自一体,9-9L,17984
439,长城C50,7.39-8.59万,三厢,1.5T,手动,6-6L,6600
440,哈飞骏意,4.14-4.44万,客车,1.3L,手动,暂无,100
441,江淮瑞风,6.58-9.58万,SUV,1.5L 1.6L,手动 无级,6-7L,9700
442,别克昂科威,20.99-34.99万,SUV,1.5T 2.0T,双离合 手自一体,7-9L,33900
443,三菱君阁,12.98-17.98万,MPV,2.0L,手动 自动,10-10L,1925
444,启辰D50,6.98-8.58万,三厢,1.6L,手动 自动,6-7L,10700
445,金杯海狮,5.68-12.48万,客车,2.0L 2.2L 2.4L 2.5T,手动,13-14L,1300
446,众泰Z700,9.98-15.88万,三厢,1.8T,手动 双离合,8-8L,18234
447,大众宝来,10.78-15.38万,三厢,1.4T 1.6L,手动 双离合 手自一体,5-9L,96000
448,长安长安之星,2.50-5.09万,客车,1.0L 1.2L 1.3L,手动,7-8L,29059
449,马自达睿翼,16.48-18.48万,三厢 掀背,2.0L,手自一体,8-8L,24700
450,比亚迪思锐,10.39-15.09万,三厢,1.5T,手动 双离合,7-7L,17100
451,铃木北斗星,3.99-4.49万,两厢,1.4L,手动,5-6L,62100
452,雪佛兰迈锐宝,16.49-18.99万,三厢,1.5T,手自一体,7-8L,1200
453,中华骏捷Wagon,暂无报价,暂无,暂无,暂无,暂无,12300
454,长城C30,5.49-7.49万,三厢,1.5L,手动 AMT,6-7L,40100
455,大众桑塔纳-尚纳,8.49-13.89万,两厢 三厢,1.4L 1.4T 1.6L,手动 自动 双离合,6-7L,null
456,雪铁龙世嘉两厢,9.58-11.18万,三厢,1.6L,手动 手自一体,7-9L,null
457,丰田凯美瑞,18.78-32.98万,三厢,2.0L 2.5L,无级 手自一体,5-10L,2100
458,Jeep自由侠,13.48-20.28万,SUV,1.4T 2.0L,手动 双离合 手自一体,7-8L,11500
459,江淮第二代瑞风S5,8.95-13.95万,SUV,1.5T 2.0L,手动 双离合,8-9L,46800
460,东风俊风,3.98-4.55万,客车,1.3L,手动,6-7L,null
