,0,1,2,3,,,,,,
0,0.12244898,0.026145152,448,419.6866746,,,,801.6443936,43845873085,12431492.23
1,0.217687075,0.024265533,476,419.1340667,,,,3233.73437,,
2,0.329931973,0.022390915,509,418.582929,,,,8175.246726,,
3,-0.670068027,0.020521503,215,418.0333219,,,,41222.52982,,
4,0.276657902,0.037536256,1352,845.3012306,,,,256743.6429,,
5,-0.004606845,0.035673794,756,841.3546742,,,,7285.420402,,
6,0.152070833,0.03381508,1088,837.4160588,,,,62792.31159,,
7,0.158677723,0.031961169,1102,833.487621,,,,72098.89767,,
8,0.13036248,0.030110794,1042,829.5666772,,,,45127.91662,,
9,-0.054630441,0.028271673,650,825.6695808,,,,30859.80163,,
10,-0.296253848,0.0264373,138,821.782544,,,,467558.5674,,
11,-0.248589856,0.024606334,239,817.9027259,,,,335128.366,,
12,-0.161284523,0.047506507,424,866.428193,,,,195742.7059,,
13,-0.160812603,0.045615532,425,862.4212171,,,,191337.3212,,
14,-0.050383155,0.043732352,659,858.4307582,,,,39772.62733,,
15,-0.022067912,0.041854133,719,854.4508117,,,,18346.92239,,
16,-0.11687096,0.060996883,322,889.2205517,,,,321739.1542,,
17,-0.08676748,0.059120269,418,883.2360294,,,,216444.563,,
18,-0.038790057,0.055384438,571,871.3224665,,,,90193.58389,,
19,-0.117498116,0.053534098,320,865.4217301,,,,297484.8637,,
20,-0.155127467,0.051690592,200,859.5427906,,,,434996.6926,,
21,-0.178959389,0.049856472,124,853.6937814,,,,532453.0147,,
22,-0.153246,0.048026342,206,847.8574965,,,,411981.0458,,
23,-0.103700688,0.07102292,364,921.1935843,,,,310464.6904,,
24,-0.198714799,0.069119511,61,915.1236117,,,,729527.1441,,
25,-0.160458292,0.067224728,183,909.081149,,,,527193.835,,
26,-0.162026181,0.065333975,178,903.0515394,,,,525699.7348,,
27,-0.0927042,0.024277694,1209,2195.859261,,,,973891.2018,,
28,-0.19156622,0.022417511,375,2180.166755,,,,3258627.015,,
29,-0.189076889,0.020566395,396,2164.550738,,,,3127771.714,,
30,-0.071959771,0.018719635,1384,2148.971474,,,,585181.3567,,
31,-0.144861621,0.01688356,769,2133.482346,,,,1861812.073,,
32,-0.187891493,0.015050092,406,2118.015212,,,,2930996.085,,
33,-0.219423024,0.013220692,140,2102.58239,,,,3851729.637,,
34,-0.154463328,0.011399077,688,2087.215242,,,,1957803.294,,
35,-0.186824636,0.034243707,415,2279.932541,,,,3477973.384,,
36,-0.102068828,0.032356311,1130,2264.010472,,,,1285979.752,,
37,-0.080613162,0.030473313,1311,2248.125499,,,,878204.2003,,
38,-0.097327244,0.028598231,1170,2232.307304,,,,1128496.808,,
39,-0.346597435,0.061816939,18,1219.55509,,,,1443734.635,,
40,-0.340479149,0.059949493,36,1214.061064,,,,1387827.871,,
41,-0.351696008,0.058092089,3,1208.59658,,,,1453463.115,,
42,-0.346257531,0.056247892,19,1203.170953,,,,1402260.845,,
43,-0.339459434,0.054411002,39,1197.766824,,,,1342740.552,,
44,-0.296631426,0.052579496,165,1192.378534,,,,1055506.652,,
45,-0.330961813,0.050757371,64,1187.017842,,,,1261169.073,,
46,-0.305129047,0.048939507,140,1181.669686,,,,1085075.734,,
47,-0.0342249,0.071790331,937,1248.896808,,,,97279.619,,
48,-0.274197707,0.069900043,231,1243.335583,,,,1024823.332,,
49,-0.338779624,0.068015221,41,1237.790435,,,,1432307.345,,
50,-0.342858482,0.066137679,29,1232.266705,,,,1447850.764,,
51,-0.479663692,0.055314746,118,1154.788213,,,,1074929.799,,
52,-0.437352031,0.053458524,200,1151.190855,,,,904764.042,,
53,0.091543738,0.051608879,1225,1147.606242,,,,5989.793785,,
54,0.051812056,0.049768807,1148,1144.040184,,,,15.68014264,,
55,0.250986463,0.047939146,1534,1140.4943,,,,154846.736,,
56,-0.120014569,0.046113822,815,1136.956822,,,,103656.1951,,
57,-0.225277727,0.044293611,611,1133.429254,,,,272932.3258,,
58,0.03633218,0.042476653,1118,1129.907989,,,,141.8001938,,
59,0.052328052,0.065264734,1149,1174.07129,,,,628.5695693,,
60,-0.151490317,0.063377084,754,1170.413024,,,,173399.8065,,
61,-0.17987009,0.061497929,699,1166.771222,,,,218809.916,,
62,-0.0911188,0.059628663,871,1163.148584,,,,85350.79535,,
63,-0.189132159,0.047041036,1817,3981.763502,,,,4686201.018,,
64,-0.240081319,0.045189818,1350,3964.795235,,,,6837154.121,,
65,-0.094216165,0.043345938,2687,3947.894231,,,,1589854.263,,
66,-0.19371431,0.041510629,1775,3931.071795,,,,4648645.587,,
67,-0.079051425,0.039679981,2826,3914.292071,,,,1184379.631,,
68,-0.014792207,0.037852586,3415,3897.542166,,,,232846.9424,,
69,-0.097052735,0.036028114,2661,3880.819062,,,,1487958.544,,
70,0.109034981,0.034204896,4550,3864.107438,,,,470448.6061,,
71,0.037138843,0.056983388,3891,4072.895098,,,,33085.82683,,
72,0.016300964,0.055098698,3700,4055.620031,,,,126465.6064,,
73,-0.046212674,0.053218439,3127,4038.385581,,,,830623.6781,,
74,-0.061268314,0.051352296,2989,4021.28051,,,,1065603.051,,
75,0.016342591,-0.027961954,301,255.7207556,,,,2050.209977,,
76,0.4233876,-0.029867816,717,253.7729642,,,,214579.2867,,
77,0.089728109,-0.031763526,376,251.8355491,,,,15416.81086,,
78,-0.023774826,-0.035526726,260,247.9895584,,,,144.2507068,,
79,0.134737894,-0.037395819,422,246.0793453,,,,30948.07677,,
80,-0.119665237,-0.039257811,162,244.1763896,,,,6752.959004,,
81,0.006557855,-0.041108013,291,242.2854832,,,,2373.10415,,
82,0.267810301,-0.017783127,558,266.1235164,,,,85191.88166,,
83,0.163113628,-0.019714743,451,264.1494052,,,,34913.14479,,
84,0.173876837,-0.021649806,462,262.1717704,,,,39931.32136,,
85,0.740413041,-0.023585771,1041,260.1932148,,,,609659.2359,,
86,0.395616701,0.024089525,673,341.2262314,,,,110073.8335,,
87,0.450487922,0.018519794,722,336.2524621,,,,148801.163,,
88,0.388189158,0.033627353,436,128.594915,,,,94497.88626,,
89,0.275155709,0.031766421,338,126.9814873,,,,44528.81272,,
90,-0.02472895,0.043577312,78,137.2215296,,,,3507.189571,,
91,0.060622837,0.041693708,152,135.5884452,,,,269.3391323,,
92,-0.096239908,0.03981658,16,133.9609748,,,,13914.79156,,
93,-0.098546713,0.037943008,14,132.3365879,,,,14003.54803,,
94,-0.055684071,-0.02040317,2758,2811.380004,,,,2849.42488,,
95,-0.265862525,-0.022370897,2440,2808.402833,,,,135720.6473,,
96,-0.339226702,-0.024324731,2329,2805.446682,,,,227001.4407,,
97,0.660773298,-0.026266201,3842,2802.509238,,,,1080541.044,,
98,0.101761013,0.047652515,28928,26997.19233,,,,3728018.267,,
99,-0.197813025,0.045797549,18238,26930.99975,,,,75568244.71,,
100,-0.228022643,0.043949072,17160,26865.03868,,,,94187775.72,,
101,-0.314896312,0.042101153,14060,26799.09754,,,,162284606.2,,
102,-0.286536263,0.04026198,15072,26733.46851,,,,135989847.8,,
103,0.07791279,0.038429719,28077,26668.0861,,,,1985038.37,,
104,0.123703621,0.036602489,29711,26602.8832,,,,9660390.023,,
105,0.412460486,0.034780192,40015,26537.85637,,,,181633400.3,,
106,0.627542876,0.057601618,47690,27352.21612,,,,413625453.1,,
107,-0.008232261,0.055715151,25003,27284.89945,,,,5207065.094,,
108,-0.078319695,0.053837358,22502,27217.89227,,,,22239639.94,,
109,-0.093424504,0.051967451,21963,27151.1665,,,,26917071.68,,
110,-0.267058181,0.038277157,2,1387.917097,,,,1920766.2,,
111,-0.230664733,0.042563322,1333,2716.62687,,,,1914423.316,,
112,-0.226517813,0.040708204,1354,2707.232554,,,,1831238.345,,
113,-0.170238193,0.03886372,1639,2697.892085,,,,1121252.448,,
114,-0.34954309,0.037028776,731,2688.599928,,,,3832197.48,,
115,-0.150490957,0.035194651,1739,2679.31192,,,,884186.5064,,
116,-0.148713706,0.033363726,1748,2670.040115,,,,850157.9735,,
117,-0.308863785,0.031535846,937,2660.783732,,,,2971430.355,,
118,-0.053729504,0.029712686,2229,2651.551247,,,,178549.5562,,
119,-0.306296644,0.052499691,950,2766.944642,,,,3301287.831,,
120,-0.13647042,0.050617881,1810,2757.415158,,,,897595.4808,,
121,-0.140814812,0.048744606,1788,2747.928892,,,,921463.4776,,
122,-0.17339775,0.046878512,1623,2738.478992,,,,1244293.382,,
123,-0.472331835,0.090101128,407,10255.20118,,,,96987066.45,,
124,-0.492663075,0.088246126,51,10222.72011,,,,103463889.9,,
125,-0.49140665,0.086400545,73,10190.40398,,,,102361863.3,,
126,-0.489122241,0.084561481,113,10158.20196,,,,100906082.5,,
127,-0.486952052,0.082727167,151,10126.08313,,,,99502283.4,,
128,-0.48895091,0.080896956,116,10094.03614,,,,99561205.24,,
129,-0.487066273,0.079069636,149,10062.03975,,,,98268357.18,,
130,-0.341320984,0.101879145,2701,10461.43427,,,,60224340.07,,
131,-0.454741887,0.100007626,715,10428.66397,,,,94355267.81,,
132,-0.461652224,0.098142827,594,10396.01133,,,,96079426.11,,
133,-0.462623097,0.096279113,577,10363.3777,,,,95773188.5,,
134,-0.149717044,0.038344657,4828,6893.105534,,,,4264660.868,,
135,-0.125948717,0.034617522,5089,6852.177866,,,,3108796.187,,
136,-0.0116604,0.032761049,6344,6831.791938,,,,237940.9751,,
